year,n_months,rankic_mean,rankic_std,rankicir,win_rate,ic_mean
2016,6,0.032185934017630737,0.04813951526518371,2.3160878417865876,0.8333333333333334,0.023572786012543895
2017,12,-0.010027038338419085,0.10213185658770395,-0.34009642890744807,0.5,-0.01944568966547831
2018,12,-0.029673463654874267,0.048086316843206627,-2.137653705288998,0.16666666666666666,-0.03249613643286125
2019,12,-0.027324647687837766,0.05083755492327347,-1.861917952808065,0.4166666666666667,-0.027155211330444528
2020,12,-0.015396560327107367,0.03989309453804324,-1.3369544306931722,0.4166666666666667,-0.014882194531753148
2021,12,0.006928500834575041,0.039419356602747105,0.6088640962207401,0.5,0.01261771259497139
2022,12,-0.012737754912523555,0.05654411588357039,-0.7803619647455264,0.5,-0.002287002343547326
2023,12,0.018938661221348095,0.03270907049718084,2.0057264216992396,0.75,0.018392844538554217
2024,12,-0.009202462372097675,0.07332205559321697,-0.43477047265675717,0.5833333333333334,-0.004101342289123089
2025,12,-0.02814625547207351,0.05099292943255932,-1.9120589879002787,0.16666666666666666,-0.0023703602729758595
2026,6,-0.014038159761133567,0.06475153501200774,-0.751018673041289,0.3333333333333333,-0.0049952339355725005
