year,n_months,g1_ann,gN_ann,long_group,short_group,long_ann,short_ann,bench_ann,ann_excess,excess_maxdd,ir,win_rate,pl_ratio,ls_ann
2016,6,,,G1,G10,,,,,-0.04604762607883639,-1.161932978112725,0.5,0.3835198222176677,
2017,12,-0.2025851397677484,-0.2801777708542843,G1,G10,-0.2025851397677484,-0.2801777708542843,0.002859362588019332,-0.20544450235576772,-0.20689863926524366,-2.6218371431899956,0.3333333333333333,0.3263762914233124,-0.017682186440933667
2018,12,-0.24820100511277499,-0.339849820403166,G1,G10,-0.24820100511277499,-0.339849820403166,-0.23506576116909061,-0.013135243943684372,-0.08896357607410466,-0.11352085829857239,0.4166666666666667,1.2789146026615956,0.006989770986663313
2019,12,0.1713854582093879,0.10589997713381138,G1,G10,0.1713854582093879,0.10589997713381138,0.19261322210251897,-0.02122776389313108,-0.08008275280515287,-0.10726849864836466,0.4166666666666667,1.2966126838930605,-0.06055250361982689
2020,12,-0.03250453519249108,-0.10638827611793766,G1,G10,-0.03250453519249108,-0.10638827611793766,0.14406132727068166,-0.17656586246317274,-0.15962400469259208,-1.605509851264258,0.3333333333333333,0.5218937528240803,-0.05084081802912421
2021,12,0.1336002304691093,-0.006776653419679701,G1,G10,0.1336002304691093,-0.006776653419679701,-0.09465316897595921,0.2282533994450685,-0.059733258810721224,1.8462304126362403,0.6666666666666666,1.8920787561518693,0.012151563198533832
2022,12,-0.03849418387939696,-0.10841635463933708,G1,G10,-0.03849418387939696,-0.10841635463933708,-0.11077683880020706,0.0722826549208101,-0.050244873084675845,0.7802505318117534,0.5,1.7757162901381542,-0.04584612826703138
2023,12,-0.2832370640116567,-0.30033114973882447,G1,G10,-0.2832370640116567,-0.30033114973882447,-0.25271862213622487,-0.030518441875431845,-0.10014032038434384,-0.23036282279153736,0.5833333333333334,0.5817378564055162,-0.09697446674464583
2024,12,0.10541774041289242,0.06947402409303827,G1,G10,0.10541774041289242,0.06947402409303827,0.11434797450486012,-0.008930234091967693,-0.08860378763128629,0.023679599536451344,0.3333333333333333,2.0343861939761676,-0.08636987935458995
2025,12,0.19172532698382927,0.30644241019140916,G1,G10,0.19172532698382927,0.30644241019140916,0.24212967510192374,-0.050404348118094466,-0.06773547699450644,-0.8697496957233253,0.5,0.5377943435998064,-0.1984327112882205
2026,6,,,G1,G10,,,,,-0.13336940229028582,-1.4680306777532142,0.5,0.26870330722815966,
