form_month,ic,rank_ic,roll12_ic,roll12_rankic,roll24_rankic,cum_rankic,ls_net,ls_trail12
2016-07,-0.02058718000926255,-0.028433785518095476,,,,-0.028433785518095476,-0.008437146028407694,
2016-08,0.009267125770809443,-0.006107735466478826,,,,-0.0345415209845743,-0.010664470069942944,
2016-09,-0.03593845573457472,-0.0980124533817278,,,,-0.13255397436630212,-0.01761534285754194,
2016-10,-0.07440645498252957,-0.06245255494652804,,,,-0.19500652931283016,-0.044961322937559965,
2016-11,-0.0320618217874279,-0.06396148347956972,,,,-0.2589680127923999,-0.021892871534183983,
2016-12,-0.032884440724269104,-0.0074251271432658385,,,,-0.2663931399356657,-0.018851742196816387,
2017-01,-0.06013018619257174,-0.06129288079646698,,,,-0.3276860207321327,-0.02299262926402367,
2017-02,0.008344691845014613,0.004327389899523672,,,,-0.323358630832609,-0.007038655585298632,
2017-03,0.03488206318936688,0.04210586277093368,,,,-0.2812527680616753,-0.006281106662378604,
2017-04,0.018929524789896957,0.05062959300174004,,,,-0.2306231750599353,-0.002175905117933143,
2017-05,-0.24020302892666848,-0.24972353157516206,,,,-0.4803467066350974,-0.07036493715016141,
2017-06,-0.0052803565226222544,-0.018699881350353154,-0.035839043273736534,-0.04158721566545421,,-0.49904658798545054,-0.021464091789110757,-0.22709800978724892
2017-07,-0.14360181525180563,-0.16626559660563947,-0.04609026287728179,-0.05307319992274954,,-0.66531218459109,-0.04607582354330883,-0.2564365521133579
2017-08,-0.06087794696353966,-0.05401134604700757,-0.051935685605144215,-0.057065167471126936,,-0.7193235306380975,-0.024384604598545898,-0.2667483121047107
2017-09,0.004483181907859674,0.006949472150526488,-0.04856721580160802,-0.04831834034343908,,-0.7123740584875711,-0.02119030727107262,-0.26941666474166237
2017-10,-0.022971605081051144,-0.01460289833457509,-0.04428097830981815,-0.04433086895910967,,-0.7269769568221461,-0.018540406960337787,-0.24920525196978227
2017-11,-0.003747776197435057,0.015201428829115328,-0.04192147451065208,-0.03773395960005258,,-0.7117755279930308,-0.007169528958250901,-0.23790361848020813
2017-12,-0.08646080840488235,-0.08281357437217257,-0.04638617181736985,-0.04401633020246148,,-0.7945891023652034,-0.043732227493978724,-0.2572292684669686
2018-01,-0.07809844558732124,-0.09230980176078764,-0.047883526766932305,-0.04660107361615486,,-0.886898904125991,-0.031852567937868455,-0.263965044805229
2018-02,-0.08978877673604028,-0.09803699617591656,-0.05606131581535354,-0.055131439122441554,,-0.9849359003019076,-0.03814316900111599,-0.28702133925933093
2018-03,-0.036914921804972196,-0.04798775564580568,-0.06204439789821514,-0.06263924065716983,,-1.0329236559477133,-0.022382896172433782,-0.2985741359278621
2018-04,0.024723439157564347,0.012570980461673435,-0.06156157170090953,-0.06581079170217538,,-1.02035267548604,-0.0050756885254293425,-0.30061255441530654
2018-05,-0.0392476975159594,-0.020739278534998427,-0.044815294083350436,-0.046728770615495074,,-1.0410919540210384,-0.02428466490415579,-0.26594522614222593
2018-06,-0.17771340003446118,-0.1812189570923226,-0.05918471437600368,-0.06027202692732586,-0.05092962129639004,-1.222310911113361,-0.06835314286345712,-0.3011193382968994
2018-07,0.001101778837860427,0.0037399152077878172,-0.04712608153519818,-0.04610490094287359,-0.04958905043281157,-1.2185709959055733,-0.011858065519473868,-0.27605012424414066
2018-08,-0.09327090300145621,-0.07917475305332683,-0.049825494538357884,-0.04820185152673353,-0.05263350949893023,-1.2977457489589002,-0.04121082327212496,-0.2885359244637712
2018-09,-0.03000221873826927,-0.005498460805860731,-0.052699277925535304,-0.04923917927309913,-0.0487787598082691,-1.303244209764761,-0.014688579521075985,-0.28381003570582164
2018-10,-0.17027434134163685,-0.18864221878426632,-0.06497450594725077,-0.06374245597724006,-0.054036662468174866,-1.4918864285490272,-0.06688050013716365,-0.319084732546947
2018-11,-0.02982794463066007,-0.031925783563476334,-0.06714785331668618,-0.0676697236766227,-0.05270184163833764,-1.5238122121125035,-0.010555744430985954,-0.3214071087043302
2018-12,-0.021108334107516093,-0.029071760835853073,-0.06170181379190567,-0.06319123921526275,-0.053603784708862116,-1.5528839729483566,-0.023375487160542982,-0.3069614276122863
2019-01,-0.19593299925310728,-0.22451618433776255,-0.07152135993072116,-0.074208437763344,-0.06040475568974943,-1.777400157286119,-0.0781392543373652,-0.3400952851225403
2019-02,-0.021719596079528346,-0.030594855914393614,-0.06584892820934517,-0.06858825940821707,-0.06185984926532931,-1.8079950132005127,-0.020502664670926717,-0.3279925983139236
2019-03,-0.10414284508569899,-0.11592151919203969,-0.07145125514940574,-0.07424940637040324,-0.06844432351378653,-1.9239165323925524,-0.0465653529923555,-0.3446154559852104
2019-04,-0.0570001368710894,-0.052390929875605445,-0.07826155315179355,-0.07966289889850982,-0.07273684530034259,-1.9763074622681578,-0.03953174930046147,-0.3673126294477038
2019-05,-0.06620121016592624,-0.051308019061582236,-0.08050767920595746,-0.08221029394239181,-0.06446953227894345,-2.02761548132974,-0.026857617559814168,-0.36898102041350145
2019-06,0.04244300220591936,0.03738521128843467,-0.06216131235259242,-0.06399327991066202,-0.062132653418993954,-1.9902302700413053,0.0008986595084927163,-0.32207569214181586
2019-07,0.05319009876486521,0.0337997293540711,-0.05782061902534202,-0.061488295398471754,-0.05379659817067267,-1.9564305406872342,0.009972950625723124,-0.30709831288723155
2019-08,0.05727406413177231,0.06032393170404649,-0.04527520509757297,-0.049863405002023985,-0.04903262826437876,-1.8961066089831877,0.008202825335282046,-0.27138785503317153
2019-09,-0.017949083717340157,-0.030383737683756785,-0.0442707771791622,-0.05193717807518199,-0.05058817867414056,-1.9264903466669445,-0.009743606662863863,-0.26773117633632504
2019-10,-0.027186893217199345,-0.065128958750846,-0.03234682316879242,-0.04164440640573029,-0.052693431191485174,-1.9916193054177904,-0.02376059959557423,-0.2338926820698075
2019-11,-0.0061335800277025326,-0.017203154323117153,-0.030372292785212626,-0.04041752063570036,-0.054043622156161535,-2.0088224597409075,-0.0034482239945157803,-0.22838946813120453
2019-12,0.0690135938306149,0.052456549370908975,-0.02286213212370171,-0.033623494785136855,-0.0484073670001998,-1.9563659103699984,0.02249762370601677,-0.1921460859419627
2020-01,-0.03851471953231103,-0.06874664052342963,-0.00974394214696869,-0.020642699467275778,-0.04742556861530988,-2.0251125508934282,-0.11139789699978854,-0.22129162096719424
2020-02,-0.007982119230841404,-0.044938243633686606,-0.008599152409578112,-0.021837981777216863,-0.045213120592716975,-2.070050794527115,-0.005719139535575955,-0.20953859777936457
2020-03,-0.024186168609769135,-0.02733100972120663,-0.0019360960365839561,-0.014455439321314106,-0.04435242284585867,-2.0973818042483217,-0.015095451939432663,-0.183447934730659
2020-04,0.06393793042479427,0.06167620182603965,0.008142076238073016,-0.004949845012843679,-0.04230637195567675,-2.035705602422282,0.01678784927034077,-0.13556724268838227
2020-05,0.06334971108824616,0.06291223395716182,0.018937986342587382,0.004568509405384992,-0.0388208922685034,-1.9727933684651202,0.012468347599577592,-0.10063437663497843
2020-06,-0.05219497398459868,-0.07094407302852004,0.01105148832671088,-0.004458930954361234,-0.03422610543251163,-2.0437374414936404,-0.03186613078957076,-0.13007544518962344
2020-07,-0.06813872845182739,-0.09563749441209986,0.0009407527253198303,-0.015245366268208813,-0.03836683083334028,-2.13937493590574,-0.03312611612001474,-0.16719815865269216
2020-08,-0.006350628376710838,-0.028920872562022252,-0.004361304983720432,-0.022682433290381207,-0.03627291914620259,-2.1682958084677626,-0.010469902718561765,-0.18262231926347705
2020-09,0.051829039158754905,0.044958735121593756,0.0014535385892874893,-0.016403893889935333,-0.034170535982558654,-2.123337073346169,0.005942312929978483,-0.1696748435760851
2020-10,-0.2332991906783037,-0.26621855317949195,-0.015722486199137874,-0.03316136009232249,-0.03740288324902639,-2.389555626525661,-0.1016822476136259,-0.23594988282628826
2020-11,0.0016901876843084982,-0.012991436581869365,-0.015070505556470286,-0.03281038361388518,-0.03661395212479277,-2.40254706310753,0.004900484803342192,-0.22954897914136252
2020-12,0.03905969606638263,0.008022720299350436,-0.01756666370348964,-0.03651320270318172,-0.03506834874415929,-2.3945243428081797,-0.005004610586816395,-0.2502718874352784
2021-01,-0.18173964005014542,-0.18214756750860991,-0.029502073746642505,-0.045963279951946746,-0.033302989709611264,-2.5766719103167897,-0.07613367675633911,-0.2205188886578474
