universe,factor,variant,ic_mean,icir,rankic_mean,rankicir,ic_win_rate,n_months,g1_ann,gN_ann,ls_ann,ls_sharpe,ls_ann_gross,ls_sharpe_gross,turnover_mean,bench_ann
hs300,A1_tau_20d,S1,-0.0007733197782433144,-0.032806508776615395,0.005300868613246148,0.23862734567988853,0.49166666666666664,120,-0.06647592033610472,-0.08046810898245516,-0.1281118567188002,-1.5656995950049655,-0.018414379427561522,-0.22897408908998954,8.469017554089264,-0.0034218499165417082
hs300,A1v_tau_vol_20d,S1,-0.004312705663413093,-0.19065306996935538,0.00010420903732437648,0.004891827372371403,0.4666666666666667,120,-0.06813519351789477,-0.08217271056547071,-0.12657555213844818,-1.7146901354193425,-0.017007813870617783,-0.23567564517124825,8.456954656359859,-0.0034218499165417082
hs300,A2a_high_tau_ret_std_20d,S1,-0.0008658371127603421,-0.029451229715898697,-0.015769666580848773,-0.57145948897446,0.5166666666666667,120,-0.01839322040011815,-0.036119648714590946,-0.0653298681643888,-0.5189307380450315,-0.021375091076602737,-0.1693857926594519,4.608965477084295,-0.0034218499165417082
hs300,A2b_low_tau_cum_ret_20d,S1,-0.00987785621100561,-0.4378476136484786,-0.020472768493109545,-0.8831495850509101,0.43333333333333335,120,-0.045313371911436584,-0.07428329453996108,-0.12077726820071943,-1.4055641100618799,-0.02886268871177433,-0.33475292807712287,7.422645341041325,-0.0034218499165417082
hs300,A2c_high_tau_vol_share_20d,S1,0.031247099717535066,0.887532091511978,0.053897699207421705,1.633219792144436,0.625,120,-0.10512010959825768,-0.02159501284401455,-0.0059727800583758706,-0.04908062586389059,0.06955152739683901,0.5750620016815,6.3842426798221785,-0.0034218499165417082
hs300,A2d_high_tau_turnover_20d,S1,-0.016824903010802382,-0.4635795564940945,-0.021586322687440106,-0.7002879511010585,0.4,120,-0.03827434699357002,-0.05653222970856797,-0.06036696710318634,-0.4954757841318088,-0.01097918805276532,-0.08909417296086423,4.654690121082467,-0.0034218499165417082
hs300,A3_tort_vol_joint_20d,S1,0.026964617617608613,0.7847189679388742,0.0448886699424352,1.3703247451679885,0.6333333333333333,120,-0.08514034606084808,-0.03556399833444701,-0.04001943482031456,-0.33883758850146,0.03456907671303022,0.29337499692474217,6.478159449859527,-0.0034218499165417082
hs300,B1_lead_lag_20d,S1,0.017527092518467076,0.967887702415858,0.010418264996209719,0.6232126124630326,0.6666666666666666,120,-0.09282224176066634,-0.04934489753535942,-0.06209065809537295,-1.0682530464181803,0.04572306815347127,0.7777627090951195,7.825487972568736,-0.0034218499165417082
hs300,B2_path_asym_20d,S1,-0.0033075768587115437,-0.14658979065784358,-0.010954818971043306,-0.4774445262971337,0.4666666666666667,120,-0.06014788454095987,-0.04766506296354578,-0.09572942314521904,-1.2079401940871817,0.005632648697643461,0.07132939931227465,7.682403777006884,-0.0034218499165417082
hs300,B2a_path_asym_amt_20d,S1,-0.0029681385690742256,-0.13106797377985066,-0.011041754185828468,-0.48174641108690597,0.475,120,-0.05939435435276563,-0.04486787629781552,-0.09383191867484342,-1.1660176679394827,0.007631073336404448,0.09512993564623444,7.68433725519654,-0.0034218499165417082
hs300,B3_cond_lead_lag_20d,S1,-0.01682603271713986,-0.9510855240153002,-0.013556857550859228,-0.7530611319506664,0.4166666666666667,120,-0.023066542430039694,-0.08804434516366921,-0.15527240813989684,-2.2573786158822613,-0.07065137254849319,-1.0414042824289158,7.316248445392301,-0.0034218499165417082
