universe,factor,factor_short,variant,n_months,rankic_mean,rankicir,win_rate,rankicir_h1,rankicir_h2,half_diff,half_mag_diff,rankic_mean_pre2025,rankicir_pre2025,rankic_mean_recent,rankicir_recent,win_rate_recent,trend_slope_ann,trend_pval,cum_rankic_dd
zz1000,A1_tau_20d,A1,S2,120,0.009000335172485809,0.6254071363820181,0.5416666666666666,1.0144133795786825,0.2574200429405496,-0.756993336638133,-0.756993336638133,0.008682893623002437,0.5958195917133262,0.010799170619558252,0.7883297870119921,0.6666666666666666,-0.003396020246020195,8.938275111319947e-09,-0.420479258764457
zz1000,A1v_tau_vol_20d,A1v,S2,120,0.0033420608791372756,0.22821113624414255,0.5416666666666666,0.4547070916510219,0.00023762883699642202,-0.4544694628140255,-0.4544694628140255,0.0025713374024999916,0.17051332638456349,0.00770949391341521,0.6332623177281665,0.6666666666666666,-0.002273870641589379,4.806664576250895e-05,-0.5328536127997114
zz1000,A2a_high_tau_ret_std_20d,A2a,S2,120,0.017214466757182197,0.8528373129427466,0.575,1.2983885448833328,0.489948647919614,-0.8084398969637188,-0.8084398969637188,0.015637762541187514,0.7661603880186234,0.026149123981152066,1.3618328839836678,0.6666666666666666,-0.0013209879422997296,0.027753692592731805,-0.47398809019447663
zz1000,A2b_low_tau_cum_ret_20d,A2b,S2,120,-0.021345760838978975,-1.085789529098839,0.4,-1.3208873904952425,-0.812555766617579,0.5083316238776635,-0.5083316238776635,-0.022022685319603327,-1.0692045913531099,-0.01750985544877432,-1.2931778486669534,0.3333333333333333,0.003785193350170423,9.383177420333164e-08,-2.738266360451379
zz1000,A2c_high_tau_vol_share_20d,A2c,S2,120,0.027990666607230527,1.5640639729088266,0.675,1.7622518241755254,1.3516304872723277,-0.4106213369031977,-0.4106213369031977,0.029431569180914358,1.6013954619000053,0.019825552023022136,1.3124477082852437,0.5555555555555556,-0.0030804417715828833,5.446564614297733e-09,-0.2586108202437889
zz1000,A2d_high_tau_turnover_20d,A2d,S2,120,0.012120815476242698,0.6159490598473014,0.55,1.2083182965645627,0.037276554790931456,-1.1710417417736312,-1.1710417417736312,0.013988600191035835,0.7316708156931044,0.0015367020924149254,0.06691664540907803,0.5555555555555556,-0.005128952116438459,1.695786382911416e-11,-0.4136933918106238
zz1000,A3_tort_vol_joint_20d,A3,S2,120,0.03173725404134497,1.8266936841503931,0.7333333333333333,2.2682883450781945,1.3925211571522873,-0.8757671879259072,-0.8757671879259072,0.03379479472397281,1.9372562375699691,0.020077856839787196,1.1771494995780305,0.6666666666666666,-0.004303867390276745,2.9951199565292965e-13,-0.15930346788022698
zz1000,B1_lead_lag_20d,B1,S2,120,0.008976787002685997,0.7702198026694669,0.5666666666666667,0.6012355981756906,0.9430717990982842,0.3418362009225936,0.3418362009225936,0.008811103211685725,0.7769247971368821,0.009915661818354191,0.725859424124234,0.6111111111111112,0.0008638520541980378,0.0030975705916434994,-0.14391406374129245
zz1000,B2_path_asym_20d,B2,S2,120,-0.009448659005489145,-0.514761092843171,0.4583333333333333,-0.8979740194680464,-0.15656255868001315,0.7414114607880333,-0.7414114607880333,-0.007284781051394445,-0.3941010361095552,-0.021710634078692462,-1.2274115806260422,0.3888888888888889,0.0029078377810204106,5.6107453828893685e-06,-1.4077504979234703
zz1000,B2a_path_asym_amt_20d,B2a,S2,120,-0.009767064931266055,-0.5316792663542095,0.45,-0.8950397107995439,-0.1932423785831588,0.7017973322163851,-0.7017973322163851,-0.007365123351724832,-0.39797652392560806,-0.023378067215332973,-1.331563617519645,0.3333333333333333,0.002762934293925914,1.5079914114535208e-05,-1.4460647523426111
