year,n_months,rankic_mean,rankic_std,rankicir,win_rate,ic_mean
2016,6,-0.1331002329761048,0.05900002914605398,-7.814788207754188,0.0,-0.10066713239866322
2017,12,-0.01609563632947202,0.1280934755929445,-0.43528305830952935,0.25,0.004469122617301325
2018,12,-0.04755443293381654,0.08797574115618005,-1.8724865033026419,0.25,-0.015979897442151367
2019,12,-0.0010282282446405881,0.06021425330929189,-0.05915355463587673,0.4166666666666667,0.015415258918625779
2020,12,-0.02475172772720231,0.110616229585405,-0.7751348994502752,0.5,0.01001070136351803
2021,12,-0.06844724359970286,0.08722020837056575,-2.7185008100195622,0.3333333333333333,-0.03536982667592191
2022,12,-0.024175922035556744,0.09181673424512105,-0.9121196834036465,0.3333333333333333,-0.007241878009603316
2023,12,-0.042303696609143605,0.07242294331927518,-2.0234513682217266,0.3333333333333333,-0.02071444624806166
2024,12,-0.0006828239073089597,0.0981882306884885,-0.02409017235138909,0.75,0.010364010209381363
2025,12,-0.006005852466829438,0.05820266776642645,-0.35745583542862935,0.5833333333333334,-0.001771755397980624
2026,6,-0.007598697472002075,0.051931695995455544,-0.506870797903635,0.5,-0.008129825834011535
