year,n_months,rankic_mean,rankic_std,rankicir,win_rate,ic_mean
2016,6,-0.060245776207188156,0.05973197347870616,-3.4938991382721802,0.16666666666666666,-0.02560557279572929
2017,12,-0.03142265168374104,0.08820503888347614,-1.2340707495561234,0.4166666666666667,-0.04964324641426529
2018,12,-0.013966963349980073,0.0641098662605015,-0.75468852333334,0.5,-0.024354243769240447
2019,12,-0.010102055931828937,0.06447204416533478,-0.5427863925008968,0.4166666666666667,-0.020514413831772004
2020,12,-0.02460714068000593,0.059715860516877876,-1.4274538629387763,0.25,-0.028643766707510482
2021,12,0.0007453677573730965,0.03797357617540507,0.06799543030292976,0.5833333333333334,-0.00916475512420791
2022,12,-0.037790276275974415,0.05513040640699028,-2.3745400336375213,0.16666666666666666,-0.03723065449345427
2023,12,-0.024689493706432534,0.06574547298462527,-1.3008791501946761,0.4166666666666667,-0.03373329845483256
2024,12,-0.009499021798123768,0.058876527058137056,-0.5588912661342438,0.4166666666666667,-0.0028044438377754027
2025,12,-0.008304397271553932,0.028804659501131837,-0.9987021717790195,0.3333333333333333,0.012015375095631498
2026,6,0.0012900837268149713,0.07246713004472055,0.06166907836649251,0.5,-0.013104490244915612
