,mean,std,count,icir
2016,0.001959734450339872,0.10658402590637782,6,0.06369359026301542
2017,0.001995384305954474,0.10349875394032315,12,0.06678548034561815
2018,0.004236859753724494,0.08566284390403474,12,0.1713334749011045
2019,0.021032614420545964,0.07986413196569005,12,0.9122883050439148
2020,0.004202165903254591,0.10076368831451556,12,0.14446404191860107
2021,0.0064638639791637365,0.06593500827808313,12,0.33959928473528084
2022,0.002099532939102165,0.09179122426949732,12,0.07923410438480859
2023,-0.03516859428230889,0.059334979411901724,12,-2.053216929759881
2024,-0.025894006878005787,0.0631834724850319,12,-1.41966668688141
2025,0.007530740703552697,0.08112542466582426,12,0.32156689646704945
2026,0.009576748294826897,0.07786656724402027,6,0.42604715232807744
