universe,factor,factor_short,variant,effective_sign,long_group,short_group,n_months,rankic_mean,rankicir,win_rate,rankicir_h1,rankicir_h2,half_diff,half_mag_diff,rankic_mean_pre2025,rankicir_pre2025,rankic_mean_recent,rankicir_recent,win_rate_recent,trend_slope_ann,trend_pval,cum_rankic_dd
zzall,A1_tau_20d,A1,S2,1,G10,G1,120,0.013348234466637928,1.3233060178753329,0.6416666666666667,1.098132788210136,1.61961833912114,0.5214855509110041,0.5214855509110041,0.011596363275094654,1.1250635100864264,0.02327550455204982,2.7658991593110014,0.6666666666666666,-0.0001020434914283776,0.7861060106911125,-0.22710885817354853
zzall,A1v_tau_vol_20d,A1v,S2,1,G10,G1,120,0.006297801389873328,0.5830811007954014,0.5833333333333334,0.39693680226561895,0.8482259378334422,0.4512891355678233,0.4512891355678233,0.004095287111500616,0.3693315247973712,0.018778715633985366,2.245032388452646,0.6666666666666666,0.0003168712500667048,0.30753380434453814,-0.2868196397624554
zzall,A2a_high_tau_ret_std_20d,A2a,S2,1,G10,G1,120,0.00929844969194843,0.5048429259126862,0.5833333333333334,0.911217876415787,0.18049108945278886,-0.7307267869629981,-0.7307267869629981,0.008788248053015474,0.47299405414565576,0.012189592312568496,0.6784358685107466,0.6111111111111112,-0.0011812027870375995,0.054121169668869006,-0.6478007244816805
zzall,A2b_low_tau_cum_ret_20d,A2b,S2,-1,G1,G10,120,-0.018351375793520107,-0.9346574584986397,0.425,-1.0799002280130459,-0.7668465934241232,0.31305363458892266,-0.31305363458892266,-0.019897138652218396,-0.9778716613038447,-0.009592052927563193,-0.631329154250295,0.5555555555555556,0.0030198337941115495,3.250314351395187e-06,-2.321029744572884
zzall,A2c_high_tau_vol_share_20d,A2c,S2,1,G10,G1,120,0.03328967668139183,1.8645393191608919,0.7333333333333333,2.186996646575435,1.5535929358644227,-0.6334037107110124,-0.6334037107110124,0.03467316853344139,1.8898625980084889,0.025449889519777624,1.6961119919461518,0.6666666666666666,-0.0032437923126469597,1.2533252361936511e-08,-0.27251563976350335
zzall,A2d_high_tau_turnover_20d,A2d,S2,1,G10,G1,120,0.009467406826788037,0.5408801041893506,0.5333333333333333,1.1756383649046547,-0.20007808633963028,-1.375716451244285,-0.9755602785650244,0.009738923961459754,0.555009424492125,0.007928809730314968,0.44668415684350904,0.6111111111111112,-0.005173126038239412,8.936257909803157e-12,-0.569869598708302
zzall,A3_tort_vol_joint_20d,A3,S2,1,G10,G1,120,0.03181327694411743,2.1593917489103935,0.775,2.7495596697242237,1.6281187597754465,-1.1214409099487772,-1.1214409099487772,0.03416983393846504,2.302628788748438,0.018459453976147656,1.3304328759898452,0.7222222222222222,-0.004160450643200808,1.006457204147744e-14,-0.18477216698515875
zzall,B1_lead_lag_20d,B1,S2,1,G10,G1,120,0.004906845440261289,0.5428562558225942,0.5583333333333333,0.4448264360412822,0.6842022251280949,0.23937578908681273,0.23937578908681273,0.0036104311497108365,0.4030123260207936,0.012253193086713847,1.2952359375385534,0.6666666666666666,0.0004785782697497951,0.06625704899783612,-0.14614328990785058
zzall,B2_path_asym_20d,B2,S2,-1,G1,G10,120,-0.00975671335807615,-0.5776863402536057,0.4583333333333333,-0.6880917117472032,-0.4516623490989207,0.23642936264828246,-0.23642936264828246,-0.0073413880268377914,-0.43016931418513216,-0.023443556901760195,-1.4920475864357148,0.2222222222222222,0.0014608353560150184,0.005145598424099826,-1.5396914307729326
zzall,B2a_path_asym_amt_20d,B2a,S2,-1,G1,G10,120,-0.009751134125103884,-0.5766728144440028,0.45,-0.6854778643216154,-0.4521984161232984,0.23327944819831697,-0.23327944819831697,-0.007302885183405349,-0.4270657738026682,-0.023624544794728912,-1.5117769042305784,0.2222222222222222,0.0014614232299961446,0.0055296341494904646,-1.537762598983501
