year,n_months,g1_ann,gN_ann,bench_ann,ann_excess,excess_maxdd,ir,win_rate,pl_ratio,ls_ann
2016,6,,,,,-0.019615706405328726,-0.2750467403865604,0.6666666666666666,0.4095636993103277,
2017,12,0.08443060572389371,0.0866672275045215,0.2202060264077017,-0.1335387989031802,-0.12005538655789749,-1.4567319179641132,0.3333333333333333,0.7011037284341526,0.0018937230858941945
2018,12,-0.2449036142866179,-0.2130870708361422,-0.18314752676606916,-0.029939544070073043,-0.10406385232863402,-0.38877232900156083,0.3333333333333333,1.5467388245077653,0.04371846143030611
2019,12,0.14018042770470784,0.1629320379531558,0.16232178671069986,0.0006102512424559503,-0.05133736064807781,0.08134481297034306,0.5833333333333334,0.7570497842852639,0.02095269353751905
2020,12,0.1796764237783628,0.14896630259618315,0.23508280769062018,-0.08611650509443702,-0.05188318465635122,-1.0292332243084046,0.3333333333333333,0.9351315489287523,-0.033494276243039245
2021,12,-0.23981852293852723,-0.22164791877873802,-0.2096455942527421,-0.012002324525995922,-0.033429879853281164,-0.17347520033239572,0.5833333333333334,0.6298143034215665,0.015523704797917315
2022,12,-0.18701604771221947,-0.15753221041380705,-0.13542302220970692,-0.022109188204100128,-0.06871140017469879,-0.2593705769067291,0.5,0.8155258897018877,0.03042015753310312
2023,12,-0.35488790172320883,-0.3903675949998141,-0.25142872060334565,-0.13893887439646846,-0.1814305447368636,-2.20281265280043,0.25,0.24059976864050125,-0.058206222571220545
2024,12,0.09524932693225896,0.0007991685999642062,0.12128508049726561,-0.1204859118973014,-0.1167777240945772,-2.080158164754147,0.25,0.6991791160096782,-0.09668709554507182
2025,12,0.14537424908824437,0.10585029668773616,0.164917458828177,-0.05906716214044083,-0.07559422674083682,-0.9702574993472891,0.3333333333333333,1.0270845687793635,-0.04365384499626135
2026,6,,,,,-0.14239542329225008,-3.7174326731467944,0.16666666666666666,0.40259289279349225,
