year,n_months,g1_ann,gN_ann,long_group,short_group,long_ann,short_ann,bench_ann,ann_excess,excess_maxdd,ir,win_rate,pl_ratio,ls_ann
2016,6,,,G1,G5,,,,,-0.016943993623600218,-1.8386246275784244,0.3333333333333333,0.49203497953344705,
2017,12,0.09922791062223424,-0.04792152693971763,G1,G5,0.09922791062223424,-0.04792152693971763,0.2202060264077017,-0.12097811578546747,-0.10861022347827409,-1.6042460127559524,0.5,0.28696387380786054,0.04707644640831243
2018,12,-0.23579995875227555,-0.28213968182206517,G1,G5,-0.23579995875227555,-0.28213968182206517,-0.18314752676606916,-0.052652431986206394,-0.08994264269176122,-1.0908559147081613,0.4166666666666667,0.5467294596628733,-0.03740470684900554
2019,12,0.20112929652444644,0.03584508602246905,G1,G5,0.20112929652444644,0.03584508602246905,0.16232178671069986,0.03880750981374659,-0.061865142343041635,0.5895476683507167,0.6666666666666666,0.7690537779563922,0.0522173931450598
2020,12,0.09476052391429746,-0.017844256396261082,G1,G5,0.09476052391429746,-0.017844256396261082,0.23508280769062018,-0.14032228377632272,-0.08733133378336366,-1.2411790389592943,0.25,1.2766820547966289,0.020743645373663355
2021,12,-0.11722884238393994,-0.17531552665643135,G1,G5,-0.11722884238393994,-0.17531552665643135,-0.2096455942527421,0.09241675186880216,-0.039947201411357325,1.253772757396128,0.5833333333333334,1.7794043130462152,-0.028361791681504767
2022,12,-0.17335484222582276,-0.13062709169876652,G1,G5,-0.17335484222582276,-0.13062709169876652,-0.13542302220970692,-0.037931820016115836,-0.042412690227867866,-0.6793260029153282,0.4166666666666667,0.8523778741666278,-0.13782414584857616
2023,12,-0.25423973057417026,-0.28207117628238987,G1,G5,-0.25423973057417026,-0.28207117628238987,-0.25142872060334565,-0.0028110099708246183,-0.050354523510257154,-0.011644198891300118,0.5,0.9916828503965904,-0.05287677535993529
2024,12,0.19139242079892216,0.05778057189954566,G1,G5,0.19139242079892216,0.05778057189954566,0.12128508049726561,0.07010734030165655,-0.030297351360785374,0.8404646266213808,0.5833333333333334,1.3173258339685667,0.02550803564299442
2025,12,0.12462794822941103,0.10151841973409725,G1,G5,0.12462794822941103,0.10151841973409725,0.164917458828177,-0.040289510598765954,-0.05077366732928834,-0.5248892953976515,0.3333333333333333,1.3840042129296717,-0.06819578292415596
2026,6,,,G1,G5,,,,,-0.05010193203765667,-0.3164163229492756,0.3333333333333333,1.5608173731410477,
