year,n_months,rankic_mean,rankic_std,rankicir,win_rate,ic_mean
2016,6,-0.062471875952746815,0.06848815527110563,-3.1598007791559852,0.0,-0.05894825445634589
2017,12,-0.023648496478827358,0.04850061450050559,-1.6890671528920806,0.3333333333333333,-0.027050776716007207
2018,12,0.0029754591781488544,0.06306989047615497,0.16342652360715312,0.3333333333333333,-0.0001574536580905908
2019,12,-0.02270512623180521,0.049717794207153554,-1.5819862024406988,0.25,-0.02983608856616818
2020,12,-0.014160490362632177,0.05576952242833305,-0.8795732041523766,0.5,-0.03384259458845652
2021,12,0.0033293655599184384,0.05744002286561548,0.2007878833976139,0.6666666666666666,-0.012632472663000507
2022,12,-0.004603378682653838,0.0434192884082798,-0.3672692969936134,0.4166666666666667,0.001898864868872787
2023,12,-0.03170869805228794,0.04705633151263981,-2.334269344973084,0.16666666666666666,-0.031036375184607733
2024,12,-0.0032014909658116173,0.06203453500567228,-0.17877606440513957,0.3333333333333333,-0.0140976950979839
2025,12,-0.025509791640488017,0.06002619172656474,-1.4721658642977749,0.16666666666666666,-0.023854879434474813
2026,6,0.013355105225983306,0.04821466715456338,0.9595304564761415,0.5,0.012751523711075139
