,ann_ret,vol,sharpe,max_dd
G1,-0.06813519351789477,0.21097787812570507,-0.3229494680826128,-0.6379539561747485
G2,-0.06920431456321585,0.20605508010902152,-0.33585347435550045,-0.6000797848316812
G3,-0.06658419114170866,0.17886126116898046,-0.37226725735095184,-0.6120889125954471
G4,-0.06812400694549381,0.2010024844570175,-0.3389212184591753,-0.6371049176298592
G5,-0.08217271056547071,0.205032119084373,-0.40077969701740107,-0.6477357861576349
LS,-0.12657555213844818,0.07381832409474556,-1.7146901354193425,-0.7346665176978195
LS_gross,-0.017007813870617783,0.07216619204864995,-0.23567564517124825,-0.2686925977847111
BENCH,-0.0034218499165417082,0.17165738138617548,-0.019934184530309332,-0.4915663893780754
