year,n_months,rankic_mean,rankic_std,rankicir,win_rate,ic_mean
2016,6,0.020488844853094823,0.042702474598854644,1.6620919797893008,0.8333333333333334,0.022928276467573738
2017,12,-0.023894509200469805,0.08829571835317429,-0.9374521149846406,0.4166666666666667,-0.025310854881282555
2018,12,-0.024633113284544757,0.046293392646059035,-1.8432783306091753,0.25,-0.018177262910696882
2019,12,-0.04423940570024435,0.05496309144153883,-2.788231024121962,0.16666666666666666,-0.035346369451846334
2020,12,-0.02701236364807934,0.05828270134026888,-1.605511933904612,0.3333333333333333,-0.01117819116592763
2021,12,0.02939328461210533,0.04221996823797896,2.4116864353158,0.8333333333333334,0.027885387123232328
2022,12,-0.01760074166768817,0.05854590356685345,-1.0414179972308153,0.5,-0.01955459585529206
2023,12,0.006826899111749267,0.056437098857622575,0.4190341587021356,0.5,0.018099216387767295
2024,12,-0.003701423997317282,0.08566103888941481,-0.14968425568559005,0.5,0.007046699659502519
2025,12,-0.025637622776603156,0.06213435600536791,-1.4293433806741458,0.3333333333333333,0.00884557649607152
2026,6,-0.045837525173900696,0.09817501881616023,-1.6173752437589524,0.16666666666666666,-0.039735423854475566
