universe,factor,factor_short,variant,effective_sign,long_group,short_group,n_months,rankic_mean,rankicir,win_rate,rankicir_h1,rankicir_h2,half_diff,half_mag_diff,rankic_mean_pre2025,rankicir_pre2025,rankic_mean_recent,rankicir_recent,win_rate_recent,trend_slope_ann,trend_pval,cum_rankic_dd
zz500,A1_tau_20d,A1,S1,1,G5,G1,120,0.014152171964412026,0.6418062171780875,0.6,0.9252838958731817,0.31978128769996533,-0.6055026081732164,-0.6055026081732164,0.013532412745875593,0.5918457158666287,0.017664140869451814,1.0262373498833555,0.7222222222222222,-0.0020846846713166453,0.005535514094058016,-0.48682294316459274
zz500,A1v_tau_vol_20d,A1v,S1,1,G5,G1,120,0.004423167510881884,0.21469294818392035,0.5666666666666667,0.4293206795795121,-0.0338254776977389,-0.463146157277251,-0.3954952018817732,0.0028510728723633756,0.13504511354374946,0.013331703795820084,0.7513206849422976,0.6111111111111112,-0.0016744437764028186,0.010274155513600374,-0.7174891509633655
zz500,A2a_high_tau_ret_std_20d,A2a,S1,-1,G1,G5,120,-0.028801888300333013,-1.1464117474259596,0.4,-0.8047774991812641,-1.4695959642761105,-0.6648184650948464,0.6648184650948464,-0.029491817886278707,-1.2803017577787592,-0.024892287313307407,-0.7000728077523011,0.4444444444444444,-0.004085066603473286,1.5833711049974901e-07,-3.690547763871277
zz500,A2b_low_tau_cum_ret_20d,A2b,S1,-1,G1,G5,120,-0.02056978925800855,-0.8904433034598139,0.4,-0.931251596680399,-0.8435574282320542,0.08769416844834488,-0.08769416844834488,-0.01918602002240489,-0.8263323586128571,-0.02841114825976264,-1.238472686418446,0.2777777777777778,0.0009055206179725541,0.15707273554382917,-2.3570767007537428
zz500,A2c_high_tau_vol_share_20d,A2c,S1,1,G5,G1,120,0.06611788860537861,2.177692014135841,0.7583333333333333,2.5018709437744717,1.8951355287682778,-0.6067354150061939,-0.6067354150061939,0.07030862065252279,2.3543857307391223,0.04237040700489477,1.2798977922986725,0.6111111111111112,-0.0031483503522541176,0.0001249079090420847,-0.425862617000599
zz500,A2d_high_tau_turnover_20d,A2d,S1,-1,G1,G5,120,-0.0529404519340371,-1.7977413284585495,0.2916666666666667,-1.8479436749829505,-1.733882886432122,0.11406078855082846,-0.11406078855082846,-0.05796533034665215,-2.103019894714135,-0.02446614092921849,-0.6375487407187543,0.5,0.0015993834367937056,0.09830206358025338,-6.193694598374327
zz500,A3_tort_vol_joint_20d,A3,S1,1,G5,G1,120,0.06321485181201532,2.2758032362029574,0.7416666666666667,2.9775581465437653,1.7418241301359794,-1.235734016407786,-1.235734016407786,0.06933727389807855,2.70662370820561,0.028521126657657145,0.7686017763613099,0.5,-0.005369217659101684,7.10958970517576e-11,-0.3255869335293422
zz500,B1_lead_lag_20d,B1,S1,1,G5,G1,120,0.012947846242350791,0.8482547701609036,0.6583333333333333,1.0839856959226855,0.6001247031492032,-0.48386099277348227,-0.48386099277348227,0.013746586192156443,0.9250994699269494,0.008421653193452087,0.47303002155432017,0.5,-0.001981082670953419,0.0004662326847650733,-0.425725782709242
zz500,B2_path_asym_20d,B2,S1,-1,G1,G5,120,-0.013914528231903074,-0.6914304295207714,0.425,-0.9372666758360141,-0.4711810701141174,0.46608560572189667,-0.46608560572189667,-0.012362403655753843,-0.6219982313350282,-0.022709900830082053,-1.036622640575581,0.2777777777777778,0.0018363267397690348,5.5150491024873e-05,-1.7095055483616404
zz500,B2a_path_asym_amt_20d,B2a,S1,1,G5,G1,120,-0.014203874034364131,-0.7048305738679086,0.43333333333333335,-0.961836515171768,-0.4741201071599759,0.48771640801179217,-0.48771640801179217,-0.012736780439015986,-0.6394883017987364,-0.022517404408003643,-1.0290852810862372,0.2777777777777778,0.0018873790032139456,3.647174577570171e-05,-1.7430478660551139
zz500,B3_cond_lead_lag_20d,B3,S1,-1,G1,G5,120,-0.014379103303982062,-0.899474031544028,0.3416666666666667,-1.1684505131132505,-0.633836383647688,0.5346141294655625,-0.5346141294655625,-0.014701034589685205,-0.9228508102964833,-0.012554826018330913,-0.7491164520541738,0.2777777777777778,-7.758189679886606e-05,0.8987664899888477,-1.7768746474991932
zz500,B4_cross_20d,B4,S1,-1,G1,G5,120,-0.01547319634411705,-1.0754811628541934,0.4166666666666667,-1.8177033177826876,-0.28547545088797494,1.5322278668947127,-1.5322278668947127,-0.018605547214030047,-1.2963533651798593,0.0022767919187232618,0.1641247962403813,0.5,0.0046635043690969385,5.799249827292947e-20,-1.8880901667316472
zz500,B5a_corr_decay_20d,B5a,S1,-1,G1,G5,120,-0.012858677783795902,-0.8072823551327594,0.43333333333333335,-1.127956291614979,-0.5091430921350285,0.6188131994799505,-0.6188131994799505,-0.016782425831407967,-1.1155158666346952,0.009375894486005789,0.48100362306760097,0.6111111111111112,0.0024246931673002035,1.9468376561012018e-05,-1.6655983337493527
zz500,B5b_slope_div_20d,B5b,S1,1,G5,G1,120,0.01003865400764205,0.3850315941786744,0.525,0.4026214596548393,0.3723283886734903,-0.030293070981349035,-0.030293070981349035,0.013771818635178757,0.5201333004018031,-0.011115945548399305,-0.4753743386241871,0.4444444444444444,0.0006160580212881729,0.48396222763943814,-0.5929259142394616
zz500,B5c_high_vol_ratio_20d,B5c,S1,-1,G1,G5,120,-0.050391725463515,-2.057608781302998,0.225,-2.4221928313877346,-1.8055235145007005,0.6166693168870341,-0.6166693168870341,-0.053717803709580764,-2.2868557992413763,-0.031543948735808985,-1.0612841903014198,0.3333333333333333,0.002240945301390476,0.0137213022635904,-5.940422594982051
