,ann_ret,vol,sharpe,max_dd
G1,-0.1471339383139395,0.23748531248582425,-0.6195496335072178,-0.8414790253944706
G2,-0.104566915112837,0.23186352746254635,-0.4509847506297774,-0.7320167103435858
G3,-0.09023611216488459,0.23256957433756723,-0.3879962046708216,-0.6826455407149972
G4,-0.10957156175112293,0.22166119524850628,-0.4943199987182299,-0.7594359715438326
G5,-0.0990932896235256,0.2243109285355635,-0.4417675512756606,-0.7326929918315543
G6,-0.08346701054866168,0.2217830789335723,-0.37634526019751685,-0.6977089745369764
G7,-0.08179514916923514,0.23013194148402308,-0.3554271894712789,-0.6976678997848167
G8,-0.09629666143530802,0.2302951598993911,-0.4181445301645813,-0.7064487858194368
G9,-0.08735036442634159,0.22958364687019794,-0.380472937063012,-0.6926919918858988
G10,-0.087651127434896,0.23845487875429006,-0.36757950977054216,-0.7332213512145018
LS,-0.05938178004573913,0.0662972158210654,-0.8956904043453217,-0.46937647813712413
LS_gross,0.06609155183752913,0.06618336649069526,0.998612723135215,-0.07072903059365221
LS_effective,-0.05938178004573913,0.0662972158210654,-0.8956904043453217,-0.46937647813712413
LS_raw_gross_GN_minus_G1,0.06609155183752913,0.06618336649069526,0.998612723135215,-0.07072903059365221
BENCH,-0.06325518995173107,0.23451794536523513,-0.26972430554607785,-0.6372066457825398
