universe,factor,factor_short,variant,n_months,rankic_mean,rankicir,win_rate,rankicir_h1,rankicir_h2,half_diff,half_mag_diff,rankic_mean_pre2025,rankicir_pre2025,rankic_mean_recent,rankicir_recent,win_rate_recent,trend_slope_ann,trend_pval,cum_rankic_dd
hs300,A1_tau_20d,A1,S2,120,0.0026440601130638965,0.1229987705601979,0.525,0.14565188837185628,0.10024548854973504,-0.04540639982212123,-0.04540639982212123,0.0014419878861750123,0.06677631920251433,0.009455802732100912,0.4411337139351669,0.5555555555555556,-0.0014089577803841856,0.020623731187075438,-0.5548528975893542
hs300,A1v_tau_vol_20d,A1v,S2,120,0.0005430442544032093,0.026129574569164052,0.5,0.11156378363705992,-0.060658552135461674,-0.1722223357725216,-0.050905231501598244,-0.0005261441900731549,-0.02542171335871533,0.0066017787731025976,0.30299432620706274,0.4444444444444444,-0.0013909033626894871,0.00922579742345686,-0.6198317150060573
hs300,A2a_high_tau_ret_std_20d,A2a,S2,120,-0.001671300994966397,-0.07360139702057895,0.48333333333333334,0.28460111383318715,-0.5538438122365474,-0.8384449260697346,0.2692426984033603,0.0023577866221390505,0.10368390048633178,-0.024502797491897266,-1.1148877212845432,0.3333333333333333,-0.001964876836460667,0.003283799391718865,-0.7900170661065781
hs300,A2b_low_tau_cum_ret_20d,A2b,S2,120,-0.01091125758388806,-0.5212593017990138,0.425,-0.6635477718256744,-0.3699141181930809,0.29363365363259347,-0.29363365363259347,-0.012598553356698008,-0.5941236325077441,-0.0013499148712983822,-0.06869419189222942,0.5,0.0022718053805354985,0.00032540430735961395,-1.7173030454483469
hs300,A2c_high_tau_vol_share_20d,A2c,S2,120,0.035019564181870716,1.4177668815025026,0.6166666666666667,1.4966095657109026,1.324909437032716,-0.17170012867818674,-0.17170012867818674,0.03420613845428894,1.3523618125735344,0.039628976638167494,1.8325787888035636,0.5555555555555556,-0.0039454361585218745,3.615230524981132e-08,-0.2769353924075122
hs300,A2d_high_tau_turnover_20d,A2d,S2,120,0.029818903159266764,1.2919863668611593,0.6416666666666667,1.5156541507173722,1.0461798027203766,-0.4694743479969956,-0.4694743479969956,0.028903966946339666,1.225031733363146,0.03500354169918701,1.7109876223749036,0.6666666666666666,-0.0038748627157068026,4.052552944647015e-09,-0.27018789953874167
hs300,A3_tort_vol_joint_20d,A3,S2,120,0.022172139618847994,1.0208029699376928,0.6166666666666667,1.3134375559913185,0.7374208532815794,-0.5760167027097391,-0.5760167027097391,0.025960113826178965,1.1897859650512312,0.0007069524439724806,0.034247040849674275,0.4444444444444444,-0.004422004075656059,1.326255451120976e-12,-0.35586527687855485
hs300,B1_lead_lag_20d,B1,S2,120,0.006801213855607697,0.45724976431571596,0.5833333333333334,0.21599082795510452,0.7825791527723922,0.5665883248172877,0.5665883248172877,0.008140265834377741,0.5335842485639588,-0.000786747357422554,-0.06220537893865216,0.5555555555555556,0.0013335821002043971,0.0032328242104841254,-0.25335490940513195
hs300,B2_path_asym_20d,B2,S2,120,-0.0037820629679465754,-0.16712801478512623,0.48333333333333334,-0.17512985787298974,-0.15743704694400681,0.01769281092898292,-0.01769281092898292,-0.003544682602870992,-0.15718373965824278,-0.0051272183700415514,-0.21606321651588534,0.3888888888888889,0.0020201736078055872,0.001638016912252235,-1.0752278036734744
hs300,B2a_path_asym_amt_20d,B2a,S2,120,-0.0037463907530522486,-0.16569481509448672,0.475,-0.1815488297522346,-0.14781319629795395,0.033735633454280656,-0.033735633454280656,-0.00379650604687353,-0.16840675738256275,-0.003462404088064989,-0.14642722079230577,0.3888888888888889,0.002063764396570095,0.0012820726156589084,-1.0920680452243114
