year,n_months,rankic_mean,rankic_std,rankicir,win_rate,ic_mean
2016,6,-0.03851539853770485,0.034894490734728494,-3.8235621576030376,0.16666666666666666,-0.022839463892074727
2017,12,-0.05015857187002914,0.04669388526064497,-3.7211379789468193,0.16666666666666666,-0.03447613089757831
2018,12,-0.04454822647084742,0.05776901780352785,-2.671320876425927,0.25,-0.04000985702992308
2019,12,0.0039670302177740365,0.0512888455599905,0.26793731920944924,0.5,0.011634925531384172
2020,12,-0.04479481496298061,0.0481457678533933,-3.2229996068516615,0.25,-0.02753983739899375
2021,12,-0.02119671204499106,0.06603605249571902,-1.1119314625207735,0.4166666666666667,-0.004218768649920697
2022,12,-0.014930446306539195,0.04887229744200216,-1.0582801683630263,0.25,-0.0018451166988165872
2023,12,-0.04330747416947347,0.03874741632978383,-3.8717805063738706,0.16666666666666666,-0.024752087907051665
2024,12,-0.02226437568731972,0.06879109629458054,-1.1211634053367179,0.3333333333333333,-0.008528519853972112
2025,12,-0.019234978434416235,0.046805805941921665,-1.4235823637879552,0.5,0.0021455472343285768
2026,6,-0.014692417073566041,0.05361659048869809,-0.9492589001075346,0.3333333333333333,0.001446013756245679
