,ann_ret,vol,sharpe,max_dd
G1,-0.0863817203779026,0.22822801816242233,-0.3784886758137977,-0.672938452480506
G2,-0.09116640149789057,0.22942082258711852,-0.39737631689151376,-0.7092825208390812
G3,-0.09558385559209714,0.22464820443721178,-0.4254823929332247,-0.7143308536229003
G4,-0.07716323528411928,0.22271099303510047,-0.34647250336653984,-0.6713147305193696
G5,-0.08339168498248906,0.22616281333732516,-0.3687241229092297,-0.6873934639374866
G6,-0.09615737815021197,0.2208892254396974,-0.4353194591488251,-0.7288671478703481
G7,-0.10126549681979158,0.22469047878417336,-0.45068886482307174,-0.7304933221964136
G8,-0.10693111205610129,0.23474374073013368,-0.45552274034446577,-0.7708090829131258
G9,-0.12787578716488568,0.22760587838399962,-0.5618298968058426,-0.8007865003117185
G10,-0.1489458854736273,0.23132734003268005,-0.6438749758354781,-0.8568812963469279
LS,-0.1865148826054449,0.07104006288439249,-2.6254887035921,-0.8728175703717966
LS_gross,-0.06975775535150675,0.06039207993084784,-1.1550811866619448,-0.5995913451873102
BENCH,-0.06325518995173107,0.23451794536523513,-0.26972430554607785,-0.6372066457825398
