,ann_ret,vol,sharpe,max_dd
G1,-0.03911733901105019,0.20947992033048352,-0.18673550643583015,-0.5583848576206185
G2,-0.050425758170085544,0.20423503733031342,-0.24690062405174365,-0.5845535560082841
G3,-0.04611201528739106,0.19830517377903914,-0.23253057098132607,-0.5390160810610218
G4,-0.0681475158224999,0.19889517393850323,-0.34263031361218727,-0.6408323381320061
G5,-0.08834870563792951,0.20291812279518678,-0.43539090752925663,-0.6909779119914485
LS,-0.0498933146130115,0.05449381016194479,-0.9155776493649181,-0.44154450409555046
LS_gross,0.05323260218514325,0.05470119774105503,0.9731524058602185,-0.0895260323246373
LS_effective,-0.0498933146130115,0.05449381016194479,-0.9155776493649181,-0.44154450409555046
LS_raw_gross_GN_minus_G1,-0.05358221936555252,0.05470119774105503,-0.9795438048578107,-0.44482931753318145
BENCH,-0.025198620272763428,0.2127784899263499,-0.11842653964451742,-0.49017689182029034
