,mean,std,count,icir
2016,0.0009080522439030309,0.04578937208424652,6,0.06869684168078308
2017,-0.0700370331439912,0.09809062173559228,12,-2.4733801798864845
2018,0.017219761938663845,0.07202801185475007,12,0.8281639824281672
2019,-0.028613953500631617,0.04677872051462804,12,-2.118947278731545
2020,-0.08700735075554206,0.04661411686005237,12,-6.465901846559016
2021,0.011498309859748007,0.06510812285336688,12,0.6117718037458006
2022,-0.019130209219550623,0.08138995374038677,12,-0.814215828979946
2023,0.003499804469965916,0.0725155422943165,12,0.1671873081755257
2024,-0.03340897168813266,0.06586900875961316,12,-1.7570034066750926
2025,-0.03388980130800811,0.06358830482463607,12,-1.846215522988513
2026,-0.006540226766914787,0.09569236184408222,6,-0.23675881407913826
