year,n_months,g1_ann,gN_ann,long_group,short_group,long_ann,short_ann,bench_ann,ann_excess,excess_maxdd,ir,win_rate,pl_ratio,ls_ann
2016,6,,,G5,G1,,,,,-0.015843056291953594,-2.18028537181384,0.3333333333333333,0.44738370226362656,
2017,12,-0.07976027745447822,0.019131184057815886,G5,G1,0.019131184057815886,-0.07976027745447822,0.2202060264077017,-0.20107484234988582,-0.1753689327842083,-2.860019011166819,0.16666666666666666,0.5066428918798898,0.011576082491246975
2018,12,-0.25083823057707866,-0.2104725884793358,G5,G1,-0.2104725884793358,-0.25083823057707866,-0.18314752676606916,-0.027325061713266652,-0.06946630571735046,-0.6024490703999846,0.5,0.638850627448905,-0.045805004691761964
2019,12,0.13987983355323919,0.183490480469523,G5,G1,0.183490480469523,0.13987983355323919,0.16232178671069986,0.02116869375882313,-0.04980675035877713,0.34047853006920575,0.5,1.3138810027398644,-0.0710070592990516
2020,12,0.08465317552376361,0.1347456895469361,G5,G1,0.1347456895469361,0.08465317552376361,0.23508280769062018,-0.10033711814368407,-0.07379003817909957,-1.028447598198359,0.4166666666666667,0.6345703837738985,-0.059922207643342995
2021,12,-0.1681067251462527,-0.15028877723793055,G5,G1,-0.15028877723793055,-0.1681067251462527,-0.2096455942527421,0.05935681701481155,-0.0436212483378674,0.85769600848113,0.5,1.9232095683370456,-0.07536765924365696
2022,12,-0.13532272053114403,-0.11312136395393424,G5,G1,-0.11312136395393424,-0.13532272053114403,-0.13542302220970692,0.022301658255772683,-0.026449709979670888,0.4963734300510846,0.6666666666666666,0.7104240270112109,-0.07506044123584155
2023,12,-0.30820296981427364,-0.2443658659536495,G5,G1,-0.2443658659536495,-0.30820296981427364,-0.25142872060334565,0.0070628546496961375,-0.014638620186592344,0.33821314147152814,0.5,1.2801092926859272,-0.014527995228024615
2024,12,0.08873082348042605,0.12933635816610667,G5,G1,0.12933635816610667,0.08873082348042605,0.12128508049726561,0.008051277668841061,-0.035477362308923954,0.16114133226634555,0.3333333333333333,2.2598503294748027,-0.08457761883127124
2025,12,0.11575196131659626,0.11365699807548535,G5,G1,0.11365699807548535,0.11575196131659626,0.164917458828177,-0.05126046075269164,-0.058544570328336154,-1.230182851736236,0.3333333333333333,0.7177871139737194,-0.09775647335706383
2026,6,,,G5,G1,,,,,-0.0897077565642439,-1.7767857683898425,0.16666666666666666,1.4218661093638378,
