year,n_months,rankic_mean,rankic_std,rankicir,win_rate,ic_mean
2016,6,-0.010891044220257653,0.06690127254035566,-0.5639307361631043,0.3333333333333333,-0.0016076978735856072
2017,12,0.06001223873406683,0.053041167080685174,3.9193800696443493,0.9166666666666666,0.03217527532169288
2018,12,0.011102128162631827,0.07814795600151606,0.4921293155625615,0.5833333333333334,0.00584965536346643
2019,12,0.016601319301348835,0.08675308912021636,0.6629003945384424,0.6666666666666666,0.013260472675171964
2020,12,0.02718151773992795,0.11943546091193527,0.788371717962454,0.5,0.02869541286451972
2021,12,-0.0017245347475429926,0.06589911406548475,-0.09065317021391911,0.5833333333333334,0.008227113327659892
2022,12,0.015130058824406573,0.06136881911588345,0.8540503461829002,0.5,0.009915259346397467
2023,12,-0.0016745017647031575,0.07827569795216037,-0.07410530240438608,0.5,0.010074157844825118
2024,12,0.02697826955918564,0.08861811868010849,1.0545864496508883,0.5833333333333334,0.038274661962963356
2025,12,0.017785965407834115,0.06711135930157736,0.9180620410204426,0.6666666666666666,0.007108028114897652
2026,6,0.051239975100819235,0.08438867871865403,2.103368404405767,0.8333333333333334,0.05813236163295216
