year,n_months,rankic_mean,rankic_std,rankicir,win_rate,ic_mean
2016,6,0.018409693363061797,0.04490187450551276,1.420275861876179,0.6666666666666666,-0.0020187893296539777
2017,12,-0.0773889696659716,0.096460066498951,-2.779214907721988,0.16666666666666666,-0.06971581455431598
2018,12,0.004769918817423263,0.06097774900670252,0.2709756222338689,0.4166666666666667,0.012101564425667087
2019,12,-0.029798769602328076,0.06172799184975268,-1.6722715710531588,0.3333333333333333,-0.009722561615409865
2020,12,-0.07128588308008195,0.06084686942387304,-4.058409989739692,0.16666666666666666,-0.0769936852104162
2021,12,0.0052969874983323124,0.07346906104869556,0.2497555118633607,0.5,0.009724594096389006
2022,12,-0.004066189502102136,0.09013799542233682,-0.15626810376346198,0.5833333333333334,-0.0102357038783435
2023,12,0.031449003975149416,0.06361288167322443,1.7125862340967368,0.5833333333333334,0.020879120437333653
2024,12,-0.01995902573853017,0.05564465990476028,-1.2425288143688267,0.16666666666666666,-0.026281282524178214
2025,12,-0.03778381860870221,0.027122346060243444,-4.825798873657703,0.08333333333333333,-0.045281703814962694
2026,6,-0.013585339685548176,0.07097308559246947,-0.6630823044263392,0.5,0.004314168262474517
