,mean,std,count,icir
2016,-0.044566017791182556,0.04230038633331257,6,-3.649640762006811
2017,-0.02210828806453212,0.024507158264693546,12,-3.1250198642006497
2018,-0.013631142633386426,0.027841717448482337,12,-1.6960039659859771
2019,-0.026429593419975004,0.019876957079038665,12,-4.606077121840701
2020,-0.006089896765646263,0.041040765475287934,12,-0.5140260172437585
2021,-0.009696438056949077,0.04312707221648996,12,-0.7788482966232358
2022,-0.00966847440875953,0.02938448231976321,12,-1.1398049300591466
2023,-0.012249251138142486,0.014826801703394387,12,-2.8618883222909095
2024,-0.0005050731150371897,0.030742404365995457,12,-0.05691241884445013
2025,-0.004757977074548094,0.014881034484876847,12,-1.1075920888081232
2026,0.003785147541672654,0.033347013800064954,6,0.39320269548745623
