year,n_months,rankic_mean,rankic_std,rankicir,win_rate,ic_mean
2016,6,-0.08320545188582658,0.06921881083253437,-4.164072407474575,0.0,-0.07263760679490891
2017,12,-0.01726788893628971,0.087902134976163,-0.6805036302069536,0.3333333333333333,-0.02400097507440153
2018,12,-0.016967569152462697,0.10020675212968722,-0.5865611094743205,0.4166666666666667,-0.018106068605746307
2019,12,-0.006047166607230038,0.05600388611173125,-0.37404546479721246,0.4166666666666667,0.008640762083795904
2020,12,-0.010199719507999926,0.05248195270279192,-0.6732383800905141,0.25,0.008292111473806213
2021,12,-0.02716184570100839,0.08829848020165264,-1.0656060370246847,0.25,-0.027274865606447988
2022,12,-0.04042868702846739,0.08379640132215252,-1.6713018437963532,0.25,-0.03187410701045008
2023,12,-0.038751951969772706,0.06564270898047103,-2.045020711259303,0.4166666666666667,-0.024250681753874376
2024,12,0.011650728471757653,0.08169606915940968,0.49401773832956275,0.5833333333333334,0.01876548359172146
2025,12,-0.020578357833954182,0.08888918581785632,-0.8019594504505327,0.5,0.020191972008116395
2026,6,0.0052549985544903715,0.10873829248999735,0.16740973729959208,0.6666666666666666,0.014313220361757348
