,ann_ret,vol,sharpe,max_dd
G1,-0.08104881083838755,0.22119790323321767,-0.3664085854961048,-0.6635254885099898
G2,-0.08754994907148661,0.22385403133630916,-0.39110284746203716,-0.677904798221169
G3,-0.11710091181300408,0.22184359708252588,-0.52785346682529,-0.7632100487179869
G4,-0.0740084175840019,0.2256344549749878,-0.3280014020562858,-0.6497925645676481
G5,-0.09490574153958142,0.22698657105435216,-0.4181117019334864,-0.7129003349368621
G6,-0.08255352910121072,0.2344468074893825,-0.3521205086358421,-0.717482851048715
G7,-0.0881990219478278,0.23463161501809449,-0.3759042528903277,-0.7011682614073482
G8,-0.09003141627859679,0.23602280028793238,-0.3814521994009238,-0.7346599400799017
G9,-0.1081277658352221,0.23806610805611209,-0.45419218517965787,-0.7770970544101877
G10,-0.1439173103006457,0.23903028088526287,-0.6020881947159137,-0.8232634965705533
LS,-0.04933766477084167,0.07125890446943309,-0.6923719237362868,-0.4298571495809935
LS_gross,0.06487704651979231,0.07122168134444408,0.91091708725651,-0.07914635247170076
LS_effective,-0.04933766477084167,0.07125890446943309,-0.6923719237362868,-0.4298571495809935
LS_raw_gross_GN_minus_G1,-0.06597488013683417,0.07122168134444408,-0.9263314048676385,-0.5080364414251453
BENCH,-0.06325518995173107,0.23451794536523513,-0.26972430554607785,-0.6372066457825398
