year,n_months,g1_ann,gN_ann,bench_ann,ann_excess,excess_maxdd,ir,win_rate,pl_ratio,ls_ann
2016,6,,,,,-0.0155037695316107,1.4429991426206847,0.6666666666666666,1.3452696226021439,
2017,12,-0.27960072843816963,-0.19796350285287512,0.002859362588019332,-0.20082286544089445,-0.20080484474542326,-3.241973181368182,0.25,0.21583862542749152,0.10685497466131433
2018,12,-0.33241958843243746,-0.22811819881843698,-0.23506576116909061,0.0069475623506536355,-0.04449755213220785,0.16844660328104927,0.5,1.136971288174684,0.14598602531326277
2019,12,0.11096445370268349,0.15698776070262244,0.19261322210251897,-0.03562546139989653,-0.08589704320363667,-0.3611907804080832,0.25,2.344745299153655,0.036666181452926994
2020,12,-0.10409925284296417,-0.003763750530177523,0.14406132727068166,-0.14782507780085918,-0.1547909609139262,-1.125360731405043,0.4166666666666667,0.6321063076824257,0.10530905155457093
2021,12,0.062307295068833035,0.1154175701679434,-0.09465316897595921,0.21007073914390262,-0.042460782928245844,1.8672812540065449,0.6666666666666666,2.097807740093807,0.038348305521420656
2022,12,-0.07183929521595123,0.016939002195895947,-0.11077683880020706,0.127715840996103,-0.040164977326898055,1.2389876441393117,0.5833333333333334,1.6810061524508408,0.07784659598355836
2023,12,-0.33508478643587225,-0.19825869955692377,-0.25271862213622487,0.0544599225793011,-0.07168387108792051,0.8499454704924879,0.75,0.6563320358689299,0.1873185891380036
2024,12,0.04365420885166427,0.18659952258011936,0.11434797450486012,0.07225154807525924,-0.0560257721108931,0.681490471618957,0.5,1.6285108898245149,0.11500360148427902
2025,12,0.192552806060603,0.3492099632074406,0.24212967510192374,0.10708028810551684,-0.07212332329297333,0.9567984036427947,0.75,0.6343664952389491,0.1248182590543978
2026,6,,,,,-0.15808152672840214,-0.9733633646904142,0.5,0.4730033272125688,
