year,n_months,g1_ann,gN_ann,bench_ann,ann_excess,excess_maxdd,ir,win_rate,pl_ratio,ls_ann
2016,6,,,,,-0.05656247107510404,-2.139929989100561,0.16666666666666666,1.1961380890964772,
2017,12,0.04169367810589053,0.0399872167808093,0.2202060264077017,-0.1802188096268924,-0.15134136839870937,-3.0574611670700746,0.16666666666666666,0.47031363280559374,-0.008227462478241354
2018,12,-0.2519575251176459,-0.2597772917135429,-0.18314752676606916,-0.07662976494747376,-0.11793909793273827,-1.7599340398677734,0.4166666666666667,0.3572175202724955,-0.012458893092952672
2019,12,0.1261581564551466,0.1396991177555511,0.16232178671069986,-0.02262266895514875,-0.09373452229579404,-0.1474135949966533,0.5,0.9011825223722584,0.008811730973953935
2020,12,0.09266194649664694,0.044229146993184365,0.23508280769062018,-0.1908536606974358,-0.13580418822900298,-1.9772582520194526,0.16666666666666666,1.0556883926674663,-0.053813630970394266
2021,12,-0.17602141630599788,-0.15284171963808002,-0.2096455942527421,0.056803874614662075,-0.06577595557083626,0.7679114280856327,0.4166666666666667,2.457619383755756,0.014202044887777099
2022,12,-0.13999517736258116,-0.15746200347891937,-0.13542302220970692,-0.022038981269212443,-0.05466523478670049,-0.4839677274892928,0.3333333333333333,1.336361321501187,-0.029627069714426635
2023,12,-0.31630086641498034,-0.22191057774984047,-0.25142872060334565,0.02951814285350518,-0.04377405305689741,0.7740529592920539,0.5833333333333334,1.3488047644635868,0.1337632216257072
2024,12,0.129978306051455,0.11433923902878873,0.12128508049726561,-0.0069458414684768766,-0.03494130184342181,-0.1385088387038094,0.4166666666666667,1.259746429784565,-0.02497127937238275
2025,12,0.10327412862114693,0.19231656242129058,0.164917458828177,0.027399103593113594,-0.025241548758226928,0.4631461184507556,0.5,1.3913231767798344,0.08117879546560536
2026,6,,,,,-0.06771029467060219,-0.32663367167541424,0.5,0.7898362184709072,
