,mean,std,count,icir
2016,-0.04834564692196106,0.04529602748940294,6,-3.69732718010262
2017,-0.012048139936272807,0.07044840029064789,12,-0.5924333390177606
2018,-0.011228646458840476,0.07384496464962581,12,-0.5267410245023012
2019,-0.005629961209893754,0.06857455219686694,12,-0.28440226141567004
2020,-0.0010089201010055546,0.05711546580508052,12,-0.061191862872409616
2021,-0.029440479019405788,0.0605176914396466,12,-1.6852065651456767
2022,-0.03379778977542882,0.07603802326135323,12,-1.5397425278499492
2023,-0.0013197959290598149,0.056930418791981754,12,-0.08030693092586662
2024,0.030112028256753683,0.06581153619618352,12,1.5849975817057929
2025,0.007614551691600591,0.06197291774092936,12,0.4256307718750949
2026,0.013177590209773264,0.08731580510241639,6,0.5227978082061542
