,mean,std,count,icir
2016,-0.07206677140640522,0.04218944448979641,6,-5.917276755968405
2017,-0.0787466407934815,0.030651533589923792,12,-8.899599256888276
2018,-0.06839465114477805,0.043159058970959376,12,-5.48960119025835
2019,-0.013307697831195996,0.05288730791086773,12,-0.8716499169990535
2020,-0.03700401072188545,0.06109873094926197,12,-2.0980084416926266
2021,-0.017883154886696537,0.061858507214100814,12,-1.0014639621410495
2022,-0.03021282678047359,0.06740160829433106,12,-1.5527864200373749
2023,-0.04472850670671367,0.06502831033017652,12,-2.382717489332098
2024,-0.03597677165682104,0.08857874181770002,12,-1.4069650375066927
2025,-0.007918374289400822,0.06036295868619082,12,-0.4544186329198904
2026,-0.006100598232175704,0.09762346662314444,6,-0.21647553524160734
