year,n_months,rankic_mean,rankic_std,rankicir,win_rate,ic_mean
2016,6,0.06208758212412477,0.041213664722246676,5.21860152368547,1.0,0.05165369272181988
2017,12,0.032518664398167384,0.05491622029905756,2.0512693198906744,0.8333333333333334,0.02867526573407393
2018,12,0.014993251664563922,0.04121145854294784,1.260284133192137,0.6666666666666666,0.008101747419409866
2019,12,0.019816782234426115,0.051922555294154744,1.322110342147139,0.6666666666666666,0.01887935342964955
2020,12,0.0172199224594839,0.0387579122877065,1.5390808659053021,0.6666666666666666,0.02066337458307064
2021,12,-0.0005424931779041475,0.021665435290882877,-0.08673961397719002,0.4166666666666667,0.0052580497263992705
2022,12,0.008118465890176172,0.0228228502295933,1.2322383278024602,0.5,0.01165144155954813
2023,12,0.020872934995735226,0.020437275690100995,3.537945513276698,0.8333333333333334,0.025332800269107423
2024,12,4.5328384354004214e-05,0.029000943632307926,0.0054143800092547175,0.5,0.005312747493486407
2025,12,0.019939593925509536,0.026646987669123746,2.592142135547433,0.75,0.032411948143486705
2026,6,-0.0011470133685367219,0.06364031845094965,-0.06243480484144816,0.6666666666666666,0.01042276010208284
