year,n_months,rankic_mean,rankic_std,rankicir,win_rate,ic_mean
2016,6,-0.01136276645422332,0.057335858593679394,-0.6865123954182362,0.16666666666666666,-0.015393271008727874
2017,12,-0.0545542338661536,0.068767196176069,-2.7481331238877975,0.25,-0.044298047228559616
2018,12,-0.023076660197521803,0.04310468540201604,-1.8545523558903307,0.25,-0.01995618521259595
2019,12,-0.02494534985247689,0.05528920626775535,-1.5629312219759193,0.4166666666666667,-0.04043102786376001
2020,12,-0.014684467570750821,0.049218101981290195,-1.0335320904616168,0.3333333333333333,-0.025049143358034247
2021,12,0.002658168268390323,0.048235708873507775,0.1908993400716081,0.5,-0.012986887017071272
2022,12,0.01289115027958645,0.04896060586506377,0.9120854147020219,0.5,0.018502120144162172
2023,12,-0.008629641342573933,0.0726777907754841,-0.41132172832850916,0.4166666666666667,-0.010101658740341224
2024,12,-0.03500348658204035,0.09818309835360166,-1.234994988318686,0.16666666666666666,-0.02933221396010685
2025,12,0.010949641989650599,0.04399124775781655,0.8622322492498324,0.5833333333333334,0.006514433544107912
2026,6,0.009015373184818749,0.07176835485181685,0.43515235754090337,0.6666666666666666,-0.006850163949671181
