year,n_months,g1_ann,gN_ann,bench_ann,ann_excess,excess_maxdd,ir,win_rate,pl_ratio,ls_ann
2016,6,,,,,-0.018046907373641563,-2.100924191269218,0.3333333333333333,0.4300773675424775,
2017,12,-0.0258600611614066,0.007895346994016172,0.2202060264077017,-0.21231067941368553,-0.18890457349533263,-2.8192117635110923,0.16666666666666666,0.6086101620670545,0.03332305635832844
2018,12,-0.2395746960287457,-0.2114926634858263,-0.18314752676606916,-0.028345136719757136,-0.07339696332399126,-0.713806380467452,0.5,0.5816409427180361,0.031390710697617896
2019,12,0.11390439717148326,0.14625246140947867,0.16232178671069986,-0.016069325301221182,-0.07924764094336456,-0.08523723098307671,0.5,0.9292862300785768,0.018785853225072202
2020,12,0.04818804456792192,0.13714484267799443,0.23508280769062018,-0.09793796501262575,-0.0713576846884647,-1.047762121101089,0.3333333333333333,0.8672654822652606,0.08822389305419343
2021,12,-0.15642618963869226,-0.1346064528006734,-0.2096455942527421,0.07503914145206869,-0.04321749969070687,1.1682908407344363,0.6666666666666666,1.258468256885245,0.019531540641081424
2022,12,-0.15249079190109438,-0.12742719848244488,-0.13542302220970692,0.007995823727262041,-0.02475691325662066,0.16362709116682314,0.5,1.1254434361892685,0.02496889359495813
2023,12,-0.2975847680160417,-0.2533390973638058,-0.25142872060334565,-0.0019103767604601307,-0.019519763918675936,-0.03480757189253615,0.4166666666666667,1.3617914696926718,0.05766693863369721
2024,12,0.11119856742589929,0.10935571713369319,0.12128508049726561,-0.01192936336357242,-0.04142420564056448,-0.22506987145822777,0.5,0.8639647653885733,-0.02302774599441526
2025,12,0.06789363468321463,0.15583302072425997,0.164917458828177,-0.009084438103917014,-0.02765106199786782,-0.20256572252744456,0.4166666666666667,1.1980420973778645,0.07513475428857075
2026,6,,,,,-0.08018046826902736,-0.6796384929610556,0.3333333333333333,1.1929094013161874,
