,ann_ret,vol,sharpe,max_dd
G1,-0.022286868391702797,0.16771221711015277,-0.13288756642615285,-0.4004528563432129
G2,-0.057071850440876926,0.17016391145840376,-0.3353933860108054,-0.5383266423170554
G3,-0.05795169977761927,0.1731083255252889,-0.33477130347005335,-0.5341536634147867
G4,-0.06397773124630246,0.18943682434058146,-0.33772594884339524,-0.5987303162010165
G5,-0.08593063301272974,0.2179125890351865,-0.3943353313968219,-0.6936231138956359
LS,-0.1374185218621612,0.09988299970937926,-1.3757949026560647,-0.7709135902778749
LS_gross,-0.05858376849227065,0.09960090314988324,-0.5881851131822726,-0.5079997451086204
BENCH,-0.0034218499165417082,0.17165738138617548,-0.019934184530309332,-0.4915663893780754
