year,n_months,g1_ann,gN_ann,long_group,short_group,long_ann,short_ann,bench_ann,ann_excess,excess_maxdd,ir,win_rate,pl_ratio,ls_ann
2016,6,,,G10,G1,,,,,-0.01391170017900012,0.25019127005541797,0.5,1.2005623935544958,
2017,12,-0.24878236553649802,-0.27237377228197646,G10,G1,-0.27237377228197646,-0.24878236553649802,-0.20837844474318756,-0.0639953275387889,-0.07808819296573022,-2.3318675084872176,0.25,0.4797211962185164,-0.15460686191993978
2018,12,-0.31022337461591365,-0.32615906729435273,G10,G1,-0.32615906729435273,-0.31022337461591365,-0.31300874315117466,-0.013150324143178072,-0.04829620472660734,-0.1659950267863574,0.6666666666666666,0.44084290213110683,-0.13942313772191883
2019,12,0.15656086407622172,0.06526030429787077,G10,G1,0.06526030429787077,0.15656086407622172,0.23191307815818663,-0.16665277386031585,-0.129117172037985,-4.530762663652094,0.08333333333333333,0.7445615026520161,-0.19605252108564142
2020,12,-0.08171952404058958,-0.12043901894094755,G10,G1,-0.12043901894094755,-0.08171952404058958,-0.0023411739685105237,-0.11809784497243703,-0.11694806167081062,-1.2942120500010026,0.4166666666666667,0.5160096044273791,-0.16922907096752282
2021,12,-0.037379926948797104,0.14499413844828135,G10,G1,0.14499413844828135,-0.037379926948797104,0.05826006212485635,0.086734076323425,-0.07105937372126703,0.8092377384960675,0.5833333333333334,1.2282771063536329,0.0506014850562726
2022,12,-0.10129050254939032,-0.1647958198972913,G10,G1,-0.1647958198972913,-0.10129050254939032,-0.09104207055638247,-0.07375374934090884,-0.08590032074001819,-1.2783575067844786,0.3333333333333333,0.7976612140503051,-0.18856115922738004
2023,12,-0.3839713443820685,-0.25687142574841404,G10,G1,-0.25687142574841404,-0.3839713443820685,-0.3227519459452467,0.06588052019683266,-0.0202697781412553,1.746539886394777,0.75,1.3161293404041827,0.057774172969198956
2024,12,0.045764214506581524,0.1500983976809438,G10,G1,0.1500983976809438,0.045764214506581524,0.14896792910812517,0.0011304685728186215,-0.03522277449473765,-0.08311517013978499,0.5833333333333334,0.6745815832299565,-0.05316241970610813
2025,12,0.18258053130258056,0.24918802672693818,G10,G1,0.24918802672693818,0.18258053130258056,0.27964393481905936,-0.030455908092121176,-0.03898184305874519,-0.47222865299865346,0.3333333333333333,1.409328830318052,-0.07202431468683912
2026,6,,,G10,G1,,,,,-0.20192742862131619,-1.1781421003294363,0.16666666666666666,1.947328164225014,
