year,n_months,rankic_mean,rankic_std,rankicir,win_rate,ic_mean
2016,6,0.04399355189990988,0.0196060762312933,7.773005286436734,1.0,0.01888270743626453
2017,12,-0.013875872342557632,0.10148614048415872,-0.4736354300595576,0.5833333333333334,-0.038170913264628625
2018,12,0.008692352359446208,0.04756998957144153,0.6329871441843078,0.5,-0.014071669471093487
2019,12,-0.04999687204245668,0.058139842236992215,-2.9789252693209542,0.08333333333333333,-0.04741714576725759
2020,12,-0.04466462654836128,0.08190710962094319,-1.8890033561401753,0.3333333333333333,-0.05601845187043363
2021,12,0.0021321620218182668,0.060638566799686135,0.12180409751297533,0.6666666666666666,-0.0059125022676964544
2022,12,-0.02006749543914393,0.052654105114644946,-1.3202359666193098,0.4166666666666667,-0.025771813232248655
2023,12,-0.010801871081816053,0.0462231625945432,-0.809524423701943,0.4166666666666667,-0.0048471848863717954
2024,12,-0.03408219049578233,0.05815006977046002,-2.0303358467137778,0.25,-0.036730218521790196
2025,12,-0.032704717571891785,0.03533588407473327,-3.2061590626629766,0.25,-0.015481752408876797
2026,6,-0.038662954517147054,0.04089815060347601,-3.274778962192571,0.16666666666666666,-0.029839219781819804
