form_month,ic,rank_ic,roll12_ic,roll12_rankic,roll24_rankic,cum_rankic,ls_net,ls_trail12
2016-07,-0.05941277783654518,-0.07055959426016116,,,,-0.07055959426016116,-0.018360310203130184,
2016-08,-0.038141912876974875,-0.041889066011110955,,,,-0.11244866027127212,-0.024383833323993697,
2016-09,-0.07534275477203489,-0.07803891014302586,,,,-0.19048757041429798,-0.030497995987756512,
2016-10,-0.010575095391993257,-0.022079025586567175,,,,-0.21256659600086517,-0.01688274408991425,
2016-11,-0.04933554977322767,-0.07821260103197458,,,,-0.2907791970328397,-0.02954176372691695,
2016-12,-0.0384381163673952,-0.05544289553433353,,,,-0.34622209256717323,-0.02565370433962809,
2017-01,0.005910755329424382,0.000936921682932512,,,,-0.3452851708842407,-0.00591093731299475,
2017-02,-0.023756428598068174,-0.01619628617885655,,,,-0.36148145706309726,-0.014053293947698452,
2017-03,-0.01797195676599286,-0.029121113964763762,,,,-0.390602571027861,-0.010420221204430466,
2017-04,-0.007391276486822932,-0.00820720743983558,,,,-0.3988097784676966,-0.00444051748715507,
2017-05,-0.06505103599853741,-0.06321536902456602,,,,-0.46202514749226264,-0.016558546983854085,
2017-06,-0.006642599707194984,-0.04388527814602943,-0.03217906243711359,-0.04215920213652435,,-0.505910425638292,-0.009450319571676063,-0.18811063878258016
2017-07,-0.01989814000129534,-0.005616255004454698,-0.028886175950842766,-0.0367472571985488,,-0.5115266806427468,-0.019982100999250414,-0.18945198093406024
2017-08,-0.014394540984136351,-0.040282013666139135,-0.02690722829310622,-0.03661333616980115,,-0.5518086943088859,-0.01747147744160623,-0.18370915239254804
2017-09,-0.08615432637957862,-0.09046399986555359,-0.027808192593734866,-0.037648760313345124,,-0.6422726941744394,-0.03832983065814664,-0.19030331613326945
2017-10,-0.009400898048422203,-0.011844822347435934,-0.027710342815103945,-0.03679591004341753,,-0.6541175165218753,-0.009005735939181882,-0.183815801709026
2017-11,-0.015102526791810306,-0.009039961859553898,-0.024857590899985835,-0.031031523445715803,,-0.6631574783814292,-0.013007599751071408,-0.16991007875812136
2017-12,-0.02001031372345664,-0.020479534803406182,-0.02332194067965762,-0.02811791005147185,,-0.6836370131848354,-0.01784926033850591,-0.1632611179778709
2018-01,-0.013914361766904743,-0.040323898279879714,-0.02497403377101838,-0.03155631171503954,,-0.7239609114647151,-0.013690632093861139,-0.16980939756141256
