year,n_months,g1_ann,gN_ann,bench_ann,ann_excess,excess_maxdd,ir,win_rate,pl_ratio,ls_ann
2016,6,,,,,-0.042204846031445586,-2.6372875936917954,0.16666666666666666,0.8717511397742754,
2017,12,0.027435376670325473,0.008538453906463017,0.2202060264077017,-0.2116675725012387,-0.1761976419197816,-3.4272547828864073,0.0,,-0.024275629870596616
2018,12,-0.286113443881739,-0.16592441949615666,-0.18314752676606916,0.017223107269912497,-0.03530527177046783,0.3373026039541833,0.5,1.2697503667269734,0.16120425831182672
2019,12,0.17171014956070962,0.1686770350555873,0.16232178671069986,0.006355248344887432,-0.056658833638863926,0.14510267658837814,0.5833333333333334,0.7918424236391016,-0.010650562204821856
2020,12,0.1035417859045702,0.13509834618276306,0.23508280769062018,-0.09998446150785711,-0.06031078621698294,-1.861806315649602,0.3333333333333333,0.518911499543461,0.014277105128520207
2021,12,-0.17680230069749392,-0.215043005377893,-0.2096455942527421,-0.005397411125150908,-0.03873823812776722,-0.15942266994242138,0.4166666666666667,1.2648257989230425,-0.053626525137479786
2022,12,-0.07160618128485885,-0.20051711175542175,-0.13542302220970692,-0.06509408954571483,-0.07729456340613239,-1.69210132687463,0.3333333333333333,0.5697229202339378,-0.15252911789830925
2023,12,-0.37163367817407755,-0.24395017388216544,-0.25142872060334565,0.0074785467211802015,-0.03524996775239053,0.2445984582447936,0.5833333333333334,0.8658192427543344,0.18618608871578646
2024,12,0.12357345658938468,0.05799952281204335,0.12128508049726561,-0.06328555768522226,-0.08034172816985019,-1.1779959250130636,0.5,0.42640189197532036,-0.08903670641304828
2025,12,0.1005393586689014,0.09676284293087667,0.164917458828177,-0.06815461589730032,-0.04593296283042314,-1.3298822293623125,0.3333333333333333,0.7392326491339352,-0.004553285258775075
2026,6,,,,,-0.08988683397794894,-0.7288272750841593,0.5,0.6141032122681798,
