,mean,std,count,icir
2016,-0.0012567962115387066,0.04133602233724858,6,-0.10532386862891448
2017,-0.02067418185537075,0.09025633139562471,12,-0.7934896715768044
2018,-0.06026671659337011,0.07278353276239706,12,-2.868369016542184
2019,-0.010141022723553482,0.08391377313254082,12,-0.4186384652293444
2020,-0.013157452770656686,0.05138849226674384,12,-0.8869447493680783
2021,-0.023387873444531557,0.038620662010270534,12,-2.0977882293238204
2022,-0.012613460460832386,0.06310871841509937,12,-0.6923656485534238
2023,-0.009378482971897618,0.03633872258669225,12,-0.8940330231198065
2024,0.0013400428423765629,0.0891519822648917,12,0.05206888794505794
2025,7.950006090823071e-05,0.03114508118881364,12,0.008842368646470755
2026,-0.0007160198349162178,0.08880693120082019,6,-0.027929863503503547
