year,n_months,g1_ann,gN_ann,bench_ann,ann_excess,excess_maxdd,ir,win_rate,pl_ratio,ls_ann
2016,6,,,,,-0.03027063568161492,-2.2902868573745305,0.3333333333333333,0.2693183879677003,
2017,12,-0.006532439771292364,-0.02390798973189978,0.2202060264077017,-0.2441140161396015,-0.21007148864823855,-3.3916487599274103,0.16666666666666666,0.39584929475780806,-0.02032863981529276
2018,12,-0.23363032858913935,-0.24955107595947212,-0.18314752676606916,-0.06640354919340297,-0.13635271080528832,-1.006833965696645,0.3333333333333333,0.958213077688321,-0.022392478200942034
2019,12,0.17110401146676368,0.20030814980515066,0.16232178671069986,0.037986363094450804,-0.06486229945570321,0.5464367891968146,0.5,1.488846409666114,0.021525690041977352
2020,12,0.023931154753524586,0.17915848797527545,0.23508280769062018,-0.05592431971534473,-0.05502824578816168,-0.767697048411132,0.3333333333333333,1.1603337069013686,0.14622688367843573
2021,12,-0.21016126882554131,-0.1851069077477293,-0.2096455942527421,0.024538686505012786,-0.021641724350557223,0.5657228042361624,0.6666666666666666,0.7584385880913876,0.0305843013714453
2022,12,-0.1659100852528479,-0.12248285116983149,-0.13542302220970692,0.012940171039875437,-0.023141520813736327,0.2732967754488094,0.3333333333333333,2.466874978824855,0.04769910728995663
2023,12,-0.2949562969691397,-0.2519888910027269,-0.25142872060334565,-0.0005601703993812768,-0.05700009120649541,0.03987080596023221,0.5,1.0330568367037332,0.060216741749855585
2024,12,0.050359080300723,0.11861228570703441,0.12128508049726561,-0.002672794790231192,-0.02847485450179521,0.12223384794822792,0.5833333333333334,0.7823819874900406,0.06791119274000246
2025,12,0.0753703630831033,0.13291381965864457,0.164917458828177,-0.032003639169532416,-0.05094259909589227,-0.5014289717717206,0.4166666666666667,0.9583063372735598,0.05552558231587823
2026,6,,,,,-0.15276897995524308,-1.1609787091329187,0.3333333333333333,0.9107153026785636,
