year,n_months,rankic_mean,rankic_std,rankicir,win_rate,ic_mean
2016,6,-0.04886459359311247,0.036753043602102416,-4.605657137447737,0.0,-0.026989899837343484
2017,12,-0.05081311678968047,0.04023740449898082,-4.374581366096164,0.08333333333333333,-0.0391360090378644
2018,12,-0.056473985745132384,0.03483426264005528,-5.616069077001975,0.08333333333333333,-0.0450022814399727
2019,12,-0.005215294469479572,0.03823404896011131,-0.47251888006921117,0.4166666666666667,0.007203627059871545
2020,12,-0.03782789039785136,0.03436295426594563,-3.813399022979632,0.08333333333333333,-0.020471063586996994
2021,12,-0.02262731066566624,0.0492244650146198,-1.592364760081762,0.4166666666666667,-0.00047293842267587667
2022,12,-0.027187948125819334,0.04700614869965371,-2.0036062859926678,0.08333333333333333,-0.003769992001939808
2023,12,-0.03392574035133943,0.02535195133522703,-4.63562786121791,0.08333333333333333,-0.009773039062194044
2024,12,-0.022269261148660346,0.0616696838459387,-1.250906096838683,0.3333333333333333,-0.002861078288052925
2025,12,-0.022649870794438625,0.044972751376056774,-1.7446442923981011,0.3333333333333333,0.0046765139561017405
2026,6,-0.006884326719585286,0.037811687644292394,-0.6307046522968726,0.3333333333333333,0.010758096773138654
