,mean,std,count,icir
2016,0.031268122161167956,0.02621577652908349,6,4.131708719772693
2017,0.022350504766461582,0.06597457411499491,12,1.173549366543715
2018,-0.004842706690036106,0.05872948487036549,12,-0.2856423498966761
2019,0.005232144107263951,0.03933659824521309,12,0.4607586741390925
2020,0.029807387964912866,0.055493237767408596,12,1.8606919499826857
2021,-0.00637224593299672,0.03873589348300791,12,-0.5698618372706975
2022,0.034823574659977576,0.03154170799249491,12,3.8245361111453446
2023,0.032800779335724096,0.041527854342116706,12,2.7361209596476193
2024,-0.001241447141966694,0.04649226120081898,12,-0.09249924478870515
2025,0.010525795629756522,0.07482832881946966,12,0.4872810366995967
2026,0.013176306429818702,0.021819596038717002,6,2.0918840249880644
