,mean,std,count,icir
2016,-0.05614891015350168,0.06390529041817353,6,-3.043653022749677
2017,-0.003038603748469942,0.03839859050377173,12,-0.27412548259562897
2018,-0.0055906431161043615,0.030769397641594788,12,-0.6294096515550803
2019,-0.036207198187078446,0.038808574258171254,12,-3.2318995509880795
2020,-0.003907482805126081,0.04737010549752008,12,-0.2857480969103793
2021,-0.01472539842606213,0.045630480146449784,12,-1.117899182904775
2022,-0.01721167608850675,0.0484828880568301,12,-1.2297739950544184
2023,-0.007099459798355076,0.03516467302264466,12,-0.6993737760123717
2024,-0.015757435784614224,0.046590352485626214,12,-1.1716021845671147
2025,0.01027886369125333,0.025243684306068482,12,1.41053215065329
2026,-0.012001013854130072,0.036994721491884645,6,-1.1237476536889772
