year,n_months,rankic_mean,rankic_std,rankicir,win_rate,ic_mean
2016,6,0.0710986319053188,0.04520044697445796,5.44890376319676,1.0,0.06428606728404117
2017,12,0.021094280657597414,0.0683497999938077,1.0690994224236572,0.6666666666666666,0.009936924056746795
2018,12,0.015548592962238634,0.06455057983460287,0.8344139763208952,0.75,0.012876631202648377
2019,12,-0.013142616051754473,0.06079995474504199,-0.7488057792630287,0.16666666666666666,-0.012768052862524764
2020,12,0.029205622357882554,0.05513677176087235,1.8349141661724953,0.6666666666666666,0.017296987354407736
2021,12,0.021324811849452546,0.06388123709917667,1.156385169177467,0.5833333333333334,0.005957415934657957
2022,12,0.009210056268855758,0.08685012488380012,0.3673520428340097,0.4166666666666667,-0.0021971515331594567
2023,12,0.03590238811833346,0.055393298740670775,2.245208779680548,0.75,0.0250250640043683
2024,12,0.008363296340050572,0.09733437425233296,0.2976472451997138,0.5,0.003288437246880186
2025,12,0.027475414556746985,0.053998459944638144,1.7625989341212203,0.75,0.016615717571340973
2026,6,0.014038098780002376,0.07443703128223432,0.6532958101578107,0.6666666666666666,0.011100016597109887
