,ann_ret,vol,sharpe,max_dd
G1,-0.07564434066253323,0.202532388394154,-0.373492562164031,-0.605516847500905
G2,-0.06453557954547173,0.18524693477217258,-0.34837596435720425,-0.5593016781410258
G3,-0.0547681623873042,0.18849142510423264,-0.2905604982137427,-0.5631827818301463
G4,-0.06875569539901871,0.167118855902323,-0.4114179398116798,-0.6235419186148153
G5,-0.05158077857054477,0.16959987634803744,-0.3041321708554515,-0.5515219659801602
LS,-0.08567631301266543,0.07476029334674975,-1.1460136013015025,-0.6007131663790193
LS_gross,0.017110049376199754,0.07356093134007906,0.2325969650533433,-0.18106735567194665
BENCH,-0.0034218499165417082,0.17165738138617548,-0.019934184530309332,-0.4915663893780754
