year,n_months,g1_ann,gN_ann,long_group,short_group,long_ann,short_ann,bench_ann,ann_excess,excess_maxdd,ir,win_rate,pl_ratio,ls_ann
2016,6,,,G1,G10,,,,,-0.04478668854426615,-0.8960287523956928,0.5,0.49564287522870304,
2017,12,-0.2033732077463355,-0.27908728367170443,G1,G10,-0.2033732077463355,-0.27908728367170443,0.002859362588019332,-0.20623257033435483,-0.20731837566901323,-2.6039873970148384,0.3333333333333333,0.3204212602289789,-0.019156339323571303
2018,12,-0.24402437312440928,-0.34420044731364774,G1,G10,-0.24402437312440928,-0.34420044731364774,-0.23506576116909061,-0.008958611955318663,-0.08597993923592284,-0.06448216798070776,0.4166666666666667,1.330488653207456,0.019038540091602885
2019,12,0.17942802094670607,0.10532486797893292,G1,G10,0.17942802094670607,0.10532486797893292,0.19261322210251897,-0.013185201155812898,-0.07449655464294991,-0.02043879556982436,0.4166666666666667,1.3789664700038886,-0.05705355393555911
2020,12,-0.008578014356266372,-0.11367629852271177,G1,G10,-0.008578014356266372,-0.11367629852271177,0.14406132727068166,-0.15263934162694803,-0.15511330563525239,-1.3489308165443437,0.3333333333333333,0.6732759216512423,-0.017617166926646277
2021,12,0.15709363039745194,-0.04162187926696226,G1,G10,0.15709363039745194,-0.04162187926696226,-0.09465316897595921,0.25174679937341116,-0.05471829167229603,2.0562787236342537,0.6666666666666666,2.280282855878612,0.06729023135114587
2022,12,-0.03953695620214903,-0.13177630767924542,G1,G10,-0.03953695620214903,-0.13177630767924542,-0.11077683880020706,0.07123988259805802,-0.048588619427420765,0.8001061584079174,0.5,1.8066924299785998,-0.022922609221034174
2023,12,-0.27483372737186884,-0.30328892471500135,G1,G10,-0.27483372737186884,-0.30328892471500135,-0.25271862213622487,-0.022115105235643973,-0.10188601009594234,-0.11782239767203732,0.5833333333333334,0.6432462444168517,-0.08069368914724329
2024,12,0.11024426140415189,0.061014777022688316,G1,G10,0.11024426140415189,0.061014777022688316,0.11434797450486012,-0.004103713100708228,-0.08760191887674185,0.06118955746185599,0.3333333333333333,2.090313555807673,-0.07576710676540155
2025,12,0.1851938976984926,0.3201331012889419,G1,G10,0.1851938976984926,0.3201331012889419,0.24212967510192374,-0.05693577740343114,-0.06759890031415539,-0.9564836437659173,0.5,0.5049598943009946,-0.21160071180622086
2026,6,,,G1,G10,,,,,-0.12999223795747206,-1.6996643723351708,0.5,0.18382393171258873,
