form_month,ic,rank_ic,roll12_ic,roll12_rankic,roll24_rankic,cum_rankic,ls_net,ls_trail12
2016-07,-0.0005696456354908554,-0.057860628466745785,,,,-0.057860628466745785,-0.001999355213961587,
2016-08,-0.07288390461381311,-0.10307490533282782,,,,-0.1609355337995736,0.006986474938205744,
2016-09,-0.05343808552567087,-0.12084205353556768,,,,-0.28177758733514124,0.0024950369767758355,
2016-10,-0.08302789490981693,-0.11488246353111577,,,,-0.396660050866257,0.011009317651013602,
2016-11,-0.10004020104953702,-0.13012917865127757,,,,-0.5267892295175346,0.01119670899128716,
2016-12,-0.12244089670410252,-0.15719837078835203,,,,-0.6839876003058867,0.02064692525604754,
2017-01,-0.07480092153207606,-0.09298203005803805,,,,-0.7769696303639247,0.00679612877685116,
2017-02,-0.026085785602053345,-0.048976262488408806,,,,-0.8259458928523336,-0.005059818642759118,
2017-03,-0.0818771159929723,-0.08265797043898752,,,,-0.908603863291321,0.01028385942976075,
2017-04,-0.06493723757753377,-0.056114875572028274,,,,-0.9647187388633494,0.0020180403457291324,
2017-05,-0.13155051479937374,-0.13941457916665506,,,,-1.1041333180300044,0.03236721685055003,
2017-06,-0.08124727140787118,-0.131159501301037,-0.07440828961252598,-0.10294106827758677,,-1.2352928193310413,0.022721338012200422,0.12551687983304083
2017-07,-0.05744395113602504,-0.07557196573813087,-0.07914781507090382,-0.10441701305020219,,-1.3108647850691721,0.002950661460289835,0.13109936853325577
2017-08,-0.04479189925301781,-0.08396888214332085,-0.07680681462417088,-0.10282484445107663,,-1.394833667212493,0.0018612253969921095,0.12534242277090257
2017-09,-0.12475985380168131,-0.1569219450738009,-0.08275029531383842,-0.10583150207926272,,-1.5517556122862939,0.021278724788208407,0.1464278944895816
2017-10,-0.06754998889609236,-0.09959939551870042,-0.08146046981269471,-0.1045579130782281,,-1.6513550078049943,0.007414753281054713,0.1423518599859297
2017-11,-0.08557549357145615,-0.07214040969798889,-0.08025507752285464,-0.09972551566545407,,-1.7234954175029833,0.007513624381208163,0.13819106860142627
2017-12,-0.10433965595162495,-0.1216376450523369,-0.0787466407934815,-0.09676212185411946,,-1.8451330625553202,0.024350881010996785,0.14232159528451072
2018-01,-0.034616792781291414,-0.0602378299388321,-0.07539796339758278,-0.09403343851085229,,-1.9053708924941524,-0.0035600003140765875,0.1305714210774509
2018-02,0.0059406413974453665,-0.008402171270267806,-0.07272909448095789,-0.09065226424267388,,-1.9137730637644201,-0.013660260988428194,0.12079855783719706
2018-03,-0.06312164568333593,-0.08240803014113632,-0.07116613862182153,-0.09063143588451962,,-1.9961810939055564,-0.0006989364727782435,0.10861435664097718
2018-04,-0.020743996172069915,-0.05496885300137848,-0.06748336850469953,-0.09053593400363213,,-2.0511499469069348,-0.0026085442446911475,0.10349558842260809
2018-05,-0.05451692615459367,-0.03801312394565137,-0.061063902784301204,-0.08208581273521516,,-2.089163070852586,0.007986563826043352,0.07743514925302586
2018-06,-0.14778858973935463,-0.18685887518213296,-0.06660901264525816,-0.08672742722530648,-0.09483424775144662,-2.276021946034719,0.045111959798369475,0.10102363032738992
2018-07,-0.07407291511988491,-0.07546574607205075,-0.06799475964391315,-0.08671857558646646,-0.09556779431833433,-2.3514876921067698,0.012677114742285493,0.11170117939761037
2018-08,-0.07571966109989964,-0.08607818793298355,-0.07057207313115328,-0.08689435106893838,-0.09485959776000748,-2.4375658800397533,0.008353000419884635,0.1189046859975127
2018-09,-0.08394097200805876,-0.0740446725318965,-0.06717049964835141,-0.07998791169044635,-0.09290970688485452,-2.51161055257165,0.02261168363518213,0.1203650648969461
2018-10,-0.052613752708644296,-0.11204755026872969,-0.06592581329939741,-0.08102525791961544,-0.09279158549892176,-2.6236581028403796,0.0022155254836825587,0.11458290499741586
2018-11,-0.08709761661789595,-0.12741185552832893,-0.06605265688660072,-0.08563121173881044,-0.09267836370213224,-2.7510699583687086,0.016860571546055365,0.12492315973119306
2018-12,-0.13244358704975281,-0.13908019782041325,-0.06839465114477805,-0.08708475780281681,-0.09192343982846814,-2.890150156189122,0.0373326416943359,0.1391794888050384
2019-01,0.07601355571430216,0.0945820812940621,-0.05917545543681191,-0.07418309853340896,-0.08410826852213062,-2.7955680748950598,-0.03315371100487945,0.10534649512030159
2019-02,0.012689368342151083,-0.02615355404250496,-0.0586130615247531,-0.0756623804310954,-0.08315732233688462,-2.821721628937565,-0.00942373609261547,0.11009417764779394
2019-03,-0.028646594348467846,-0.10669944023521712,-0.05574014058018076,-0.07768666460560213,-0.08415905024506087,-2.928421069172782,-0.0028984319557717707,0.1076508227685189
2019-04,-0.01102919826816116,-0.018795728699245676,-0.05493057408818836,-0.07467223758042439,-0.08260408579202826,-2.9472167978720276,-0.015673435743481883,0.09314163709772538
2019-05,-0.1113359114361135,-0.12813283423806116,-0.05966548952831502,-0.0821822134381252,-0.08213401308667018,-3.075349632110089,0.01934663210200001,0.10546140809307003
2019-06,-0.08413176647047763,-0.1319217358621441,-0.054360754255908604,-0.0776041184947928,-0.08216577286004964,-3.207271367972233,0.01427499083376663,0.07284377434260669
2019-07,0.04694254512331801,0.028964632057748983,-0.04427613256897503,-0.06890158698397615,-0.07781008128522132,-3.178306735914484,-0.030326180464711774,0.027285504221349566
2019-08,0.00990937103037317,-0.03995250264738321,-0.037140379891452295,-0.06505777987684279,-0.07597606547289058,-3.2182592385618674,-0.011973667281508282,0.006577189702455577
2019-09,-0.044442498204156994,-0.06678054578636107,-0.03384884040779382,-0.0644524359813815,-0.07222017383591392,-3.2850397843482284,0.0011612057112749775,-0.014536945928840805
2019-10,-0.040047703125836276,-0.10356969462956768,-0.03280166960922648,-0.06374594801145134,-0.07238560296553338,-3.3886094789777963,0.0035769654163241944,-0.013198263060893445
2019-11,0.023828290270270825,0.017796394154974825,-0.02355784403521258,-0.05164526053784269,-0.06863823613832656,-3.3708130848228213,-0.020047483752932693,-0.04901530041608482
2019-12,-0.009441832601553811,-0.030797408889577986,-0.013307697831195996,-0.04262169479360642,-0.06485322629821162,-3.401610493712399,-0.014111528600255798,-0.09617723947647905
2020-01,0.012387995896915763,-0.034580929294106125,-0.018609827815978197,-0.05338527900928711,-0.06378418877134803,-3.4361914230065054,-0.03134179307419974,-0.09448343076604682
2020-02,-0.07720723168714298,-0.11979248775078942,-0.026101211151752703,-0.061188523484977476,-0.06842545195803643,-3.555983910757295,0.03766680972788234,-0.05143649834054098
2020-03,-0.017567135462284098,-0.028971908228668002,-0.025177922911237393,-0.054711229151098384,-0.06619894687835025,-3.584955818985963,-0.005993466368815359,-0.054380869079372784
2020-04,-0.04768927190854393,-0.07528099887787348,-0.028232929047935954,-0.05941833499931737,-0.06704528628987089,-3.6602368178638365,0.0022850019427293772,-0.03712862490128965
2020-05,0.041945188804964235,-0.009879445566596274,-0.015459504027846146,-0.04956388594336195,-0.06587304969074359,-3.6701162634304327,-0.03179128720447413,-0.08543333022098532
2020-06,-0.014191939431010941,-0.047728372012591495,-0.009631185107890586,-0.04254777228923257,-0.06007594539201269,-3.7178446354430243,0.0009631153141671607,-0.09743658158032842
2020-07,-0.044696059943778496,-0.08571923262783143,-0.01726773553014863,-0.052104761013030944,-0.06050317399850355,-3.8035638680708557,0.012785909833415054,-0.05730824686531766
2020-08,-0.04588219976678458,-0.09425281274019844,-0.021917033096578442,-0.05662978685409888,-0.06084378336547083,-3.897816680811054,-0.0007330922780302718,-0.04658343417017907
2020-09,0.0251782658656843,-0.019606592142611606,-0.016115302757425,-0.05269862405045309,-0.0585755300159173,-3.9174232729536653,-0.01809357803331705,-0.06491997147190387
2020-10,-0.16538707860782673,-0.21020277259194498,-0.026560250714257536,-0.0615847138806512,-0.06266533094605127,-4.12762604554561,0.05841705164440682,-0.013822874625558867
2020-11,0.01008075502795375,-0.029824477778816638,-0.027705878651117292,-0.06555311987513382,-0.05859919020648826,-4.157450523324427,-0.018957974336519072,-0.012726444700094652
2020-12,-0.12101941745077165,-0.15824669773922198,-0.03700401072188545,-0.07617389394593749,-0.05939779436977196,-4.315697221063649,0.03186895235967315,0.0333186346659895
2021-01,-0.011792936300988158,-0.03444327142540801,-0.03901908840504411,-0.0761624224568793,-0.06477385073308321,-4.350140492489057,-0.0006536018848318937,0.06605534158019166
