,mean,std,count,icir
2016,-0.10496016681988123,0.0471444468356626,6,-7.712312007250822
2017,-0.04841094347553492,0.0745370572472593,12,-2.249893323902445
2018,-0.061705991187613544,0.0901103322044879,12,-2.3721566496016324
2019,-0.02781777725285497,0.08836094232565361,12,-1.0905678977031483
2020,-0.04547611098847304,0.1170062901624715,12,-1.3463709455842616
2021,-0.04259335787322672,0.12046189397349738,12,-1.2248497424027451
2022,-0.05238104801052073,0.0793539813202216,12,-2.286630991879594
2023,-0.048427996368876396,0.08031611813501363,12,-2.0887401474919596
2024,-0.028996542203253987,0.08928160532107515,12,-1.1250578248282395
2025,-0.038774341257313376,0.07304280355272068,12,-1.8388979015354165
2026,-0.031122346675616197,0.23104003169303494,6,-0.4666332955196237
