year,n_months,g1_ann,gN_ann,bench_ann,ann_excess,excess_maxdd,ir,win_rate,pl_ratio,ls_ann
2016,6,,,,,0.0,8.035337309963179,1.0,,
2017,12,-0.29632592089920684,-0.18397753389126292,-0.20837844474318756,0.02440091085192464,-0.01916592473109735,0.7171772324769994,0.5833333333333334,1.2325681367027277,0.14735395187840927
2018,12,-0.35436595974528906,-0.2622670835561334,-0.31300874315117466,0.05074165959504129,-0.01886968626226171,1.3616845105281783,0.6666666666666666,1.4114830332664814,0.12754024397780284
2019,12,0.07982250956683856,0.15014972835265628,0.23191307815818663,-0.08176334980553035,-0.07765913469130004,-1.4342922481273683,0.4166666666666667,0.5076919553381749,0.06012619629603111
2020,12,-0.04047600731782519,-0.006851878894695962,-0.0023411739685105237,-0.004510704926185438,-0.06723496971644438,-0.09302135459385394,0.5,0.9334531249224707,0.016569560106929337
2021,12,0.044910344324700535,0.12001745306449219,0.05826006212485635,0.06175739093963584,-0.10104770592941115,0.49022444360042605,0.4166666666666667,1.9911449115481632,0.05073774547565235
2022,12,-0.12980981036697048,-0.05216509696257465,-0.09104207055638247,0.03887697359380782,-0.027411797849079766,0.4446202933616792,0.5833333333333334,1.0028073550938685,0.0712085642786191
2023,12,-0.3701730155054693,-0.2674378819916555,-0.3227519459452467,0.055314063953591175,-0.024637336597472026,1.2287719412861493,0.5833333333333334,2.5642551616534446,0.14256947485831573
2024,12,-0.003110076970435083,0.10877867054111734,0.14896792910812517,-0.040189258567007835,-0.03915792513456673,-0.8532314824264778,0.5,0.5023547017424237,0.08604301412456228
2025,12,0.18567818296054361,0.2409451071067692,0.27964393481905936,-0.03869882771229016,-0.0695243365668532,-0.5305538186988549,0.4166666666666667,0.9292484399205184,0.03640145898647429
2026,6,,,,,-0.21356948957988597,-0.4673730400676466,0.3333333333333333,1.4267784294334995,
