form_month,ic,rank_ic,roll12_ic,roll12_rankic,roll24_rankic,cum_rankic,ls_net,ls_trail12
2016-07,-0.0029928645243511216,-0.013648192971687083,,,,-0.013648192971687083,0.0023140212371274334,
2016-08,-0.05578590920228203,-0.10012024351505631,,,,-0.1137684364867434,-0.017764148761285112,
2016-09,-0.07225461857911307,-0.04284872431924386,,,,-0.15661716080598725,-0.02278350767786282,
2016-10,0.0320032568591458,0.09713725911354307,,,,-0.05947990169244419,0.000320409767592557,
2016-11,-0.024930413529150805,-0.01551853237744136,,,,-0.07499843406988554,-0.010734726352988853,
2016-12,0.009127657856861683,-0.01609677489263778,,,,-0.09109520896252332,-0.0069146815594352175,
2017-01,-0.06834914294742776,-0.12304726149035568,,,,-0.21414247045287899,-0.012508240868279143,
2017-02,-0.07191423801699998,-0.04944084332949695,,,,-0.2635833137823759,-0.027149977765017878,
2017-03,-0.06540297014965368,-0.07058872661795278,,,,-0.3341720404003287,-0.019891941435588666,
2017-04,0.02232951406069397,0.039045036207841666,,,,-0.29512700419248705,-0.006912153089956609,
2017-05,-0.1358839399654551,-0.15589696510054213,,,,-0.4510239692930292,-0.02438931483421246,
2017-06,-0.03950304280001667,-0.0908858836046623,-0.039463059244812394,-0.045159154408140965,,-0.5419098528976914,-0.03430513465001721,-0.16707422499120206
2017-07,0.054464898105054775,0.04822442267450742,-0.03467491235902857,-0.040003103104291414,,-0.493685430223184,-0.009719571771177653,-0.17707417467784003
2017-08,-0.025735202036263484,-0.08538405559281403,-0.03217068676186036,-0.038775087444104565,,-0.579069485815998,-0.01927475406007037,-0.17833977306815652
2017-09,-0.02404758109743706,-0.061266010233288024,-0.02815343363838736,-0.04030986127027491,,-0.6403354960492861,-0.02127696368038224,-0.1770730452830871
2017-10,-0.18386981274759592,-0.15023970721165875,-0.04614285610561583,-0.06092460846404172,,-0.7905752032609448,-0.06063487149255151,-0.2272187220997557
