universe,factor,variant,ic_mean,icir,rankic_mean,rankicir,ic_win_rate,n_months,g1_ann,gN_ann,ls_ann,ls_sharpe,ls_ann_gross,ls_sharpe_gross,effective_sign,ls_eff_ann,ls_eff_sharpe,long_group,short_group,turnover_mean,ls_turnover_mean,bench_ann
hs300,C1_entropy_20d,S2,0.010564595130785358,0.4394913549557403,0.01863065180927453,0.7386710101514479,0.6083333333333333,120,-0.04868670215249826,-0.01698111423155002,-0.026691440011728407,-0.34727572962925285,0.0344830028569616,0.44942022103645685,1,-0.026691440011728407,-0.34727572962925285,G5,G1,1.1551163378019136,1.6930013861824131,-0.0034218499165417082
hs300,C2_entropy_diff_20d,S2,0.015829462262907403,0.8269976188064824,0.019230581982467087,0.97167274140135,0.575,120,-0.07817434867575124,-0.03215074094460446,-0.052338502886280835,-0.7910226930439338,0.044830701261243444,0.6763070351162506,1,-0.052338502886280835,-0.7910226930439338,G5,G1,1.4781041948403908,2.710111725548937,-0.0034218499165417082
hs300,C3_entropy_std_20d,S2,-0.019437778317182644,-0.9926670220912229,-0.01963545690680543,-0.9336963726498787,0.375,120,-0.032039510081153244,-0.09739381508614653,-0.02895129424436438,-0.40204293330771856,0.07354497913558311,1.0201022256741574,-1,-0.02895129424436438,-0.40204293330771856,G1,G5,1.4999175646502338,2.79177679388353,-0.0034218499165417082
zz500,A1_tau_20d,S1,0.011657103188471104,0.5424728405391669,0.014152171964412026,0.6418062171780875,0.6,120,-0.08721593644680425,-0.05302008806354541,-0.08391115005245886,-1.1061603735441077,0.030093529990056878,0.3969520007074484,1,-0.08391115005245886,-1.1061603735441077,G5,G1,1.683306792787032,3.2493034862851897,-0.025198620272763428
zz500,A1v_tau_vol_20d,S1,0.004610673419474604,0.22225718220782115,0.004423167510881884,0.21469294818392035,0.525,120,-0.08616055287526525,-0.06485558820224158,-0.09581128868927369,-1.34546091283022,0.0169120477597815,0.23817251238309012,1,-0.09581128868927369,-1.34546091283022,G5,G1,1.688067478578815,3.2510523411358654,-0.025198620272763428
zz500,A2a_high_tau_ret_std_20d,S1,-0.012540713714558149,-0.5136558103916705,-0.028801888300333013,-1.1464117474259596,0.425,120,-0.03068323549945029,-0.0535046428757564,-0.03937059871055859,-0.3826879761229312,0.012952492093994517,0.12452542428302746,-1,-0.03937059871055859,-0.3826879761229312,G1,G5,1.0146591179539965,1.4740386986068768,-0.025198620272763428
zz500,A2b_low_tau_cum_ret_20d,S1,-0.013993491717941524,-0.6081516044099301,-0.02056978925800855,-0.8904433034598139,0.43333333333333335,120,-0.053046442051021936,-0.09839959754694316,-0.053767997132324497,-0.6425542787892827,0.043225983851328476,0.5178711205000724,-1,-0.053767997132324497,-0.6425542787892827,G1,G5,1.4845032111213712,2.7079788546846384,-0.025198620272763428
zz500,A2c_high_tau_vol_share_20d,S1,0.03738802715351846,1.2302212229014744,0.06611788860537861,2.177692014135841,0.65,120,-0.11126062189144736,-0.006776280201072127,0.009155107225092829,0.08140086418874302,0.0941935828299616,0.8396692979083002,1,0.009155107225092829,0.08140086418874302,G5,G1,1.3553452307712581,2.2544442979488406,-0.025198620272763428
zz500,A2d_high_tau_turnover_20d,S1,-0.026242749061813307,-0.7860461033181819,-0.0529404519340371,-1.7977413284585495,0.4,120,-0.022357687364123136,-0.08087528128841948,-0.02323290429813485,-0.20266020234882706,0.037247035434413434,0.32488354642593625,-1,-0.02323290429813485,-0.20266020234882706,G1,G5,1.0613470106413476,1.668892663304018,-0.025198620272763428
zz500,A3_tort_vol_joint_20d,S1,0.036726317321029565,1.3148013800069263,0.06321485181201532,2.2758032362029574,0.6666666666666666,120,-0.11126720277920776,-0.015345649864022981,0.0057708930791675606,0.05604297457300519,0.09155945023910617,0.8876550155461087,1,0.0057708930791675606,0.05604297457300519,G5,G1,1.3659389044606158,2.2820400670009917,-0.025198620272763428
zz500,B1_lead_lag_20d,S1,0.014530600099459041,0.998428079139127,0.012947846242350791,0.8482547701609036,0.6166666666666667,120,-0.10024623090510287,-0.054648085630091714,-0.06079924366839329,-1.1864239800461884,0.04953319031708481,0.9662935228069376,1,-0.06079924366839329,-1.1864239800461884,G5,G1,1.5866841547593722,3.083170645911773,-0.025198620272763428
zz500,B2_path_asym_20d,S1,-0.0037674737441129188,-0.20156074284891703,-0.013914528231903074,-0.6914304295207714,0.5333333333333333,120,-0.07579734900173951,-0.07583650168621536,-0.10110772394640977,-1.6354030443321614,0.0009264333522718271,0.014971688722809958,-1,-0.10110772394640977,-1.6354030443321614,G1,G5,1.557095828211573,2.973105160803262,-0.025198620272763428
zz500,B2a_path_asym_amt_20d,S1,-0.004246097258434113,-0.2261315388652145,-0.014203874034364131,-0.7048305738679086,0.525,120,-0.07679067660450112,-0.07650932221572548,-0.10584805255668861,-1.6563467402105134,-0.004304629168991214,-0.06747686566101696,1,-0.10584805255668861,-1.6563467402105134,G5,G1,1.5569814372333004,2.972784163620486,-0.025198620272763428
zz500,B3_cond_lead_lag_20d,S1,-0.019370783641255204,-1.188811040633729,-0.014379103303982062,-0.899474031544028,0.3333333333333333,120,-0.029677927340536203,-0.09956402342178461,-0.025614609869003435,-0.4075795977166565,0.07635359596081193,1.208233642206202,-1,-0.025614609869003435,-0.4075795977166565,G1,G5,1.5056987089930678,2.770253050037611,-0.025198620272763428
zz500,B4_cross_20d,S1,-0.01068787044747478,-0.7372061823926747,-0.01547319634411705,-1.0754811628541934,0.425,120,-0.06588367833316833,-0.084159185084552,-0.08902438938990176,-1.9046904264120543,0.01807461985315162,0.38741321925254896,-1,-0.08902438938990176,-1.9046904264120543,G1,G5,1.5833159499264928,3.077511078880504,-0.025198620272763428
zz500,B5a_corr_decay_20d,S1,-0.014406672211812,-0.8909406929787589,-0.012858677783795902,-0.8072823551327594,0.4083333333333333,120,-0.05730111856563036,-0.10044368325444952,-0.06370697119755742,-1.0287382930915214,0.046360687267229084,0.7547830896643524,-1,-0.06370697119755742,-1.0287382930915214,G1,G5,1.5842044878120092,3.0833211130989815,-0.025198620272763428
zz500,B5b_slope_div_20d,S1,0.006031323463750081,0.2560393141149874,0.01003865400764205,0.3850315941786744,0.525,120,-0.07808643891542777,-0.06049091210777291,-0.09691437198478736,-1.2433605454490866,0.006713047367260083,0.086103097733531,1,-0.09691437198478736,-1.2433605454490866,G5,G1,1.5689779952519876,3.00480156474408,-0.025198620272763428
zz500,B5c_high_vol_ratio_20d,S1,-0.02344542097273715,-0.9708976811320796,-0.050391725463515,-2.057608781302998,0.39166666666666666,120,-0.043798156344485695,-0.09757998779444765,-0.046175883863190714,-0.5660049437938413,0.044872698426927204,0.5518145821104175,-1,-0.046175883863190714,-0.5660049437938413,G1,G5,1.4353079354466365,2.5308572224366137,-0.025198620272763428
zz500,C1_entropy_20d,S1,0.006796354540293281,0.27944786316302084,-0.00615068064256224,-0.22679669802538716,0.5083333333333333,120,-0.04890558375784537,-0.036240835086814194,-0.046988962834067616,-0.5936247213443313,0.013914962786901963,0.17613965513725421,1,-0.046988962834067616,-0.5936247213443313,G5,G1,1.154719318881958,1.7174775921538123,-0.025198620272763428
zz500,C2_entropy_diff_20d,S1,0.020770882909424807,0.9573905300366574,0.03684435520825196,1.6411186673752414,0.6083333333333333,120,-0.09620903270943248,-0.03401725982792747,-0.03561406143260648,-0.4352765066418913,0.0598347769424008,0.7281561117287492,1,-0.03561406143260648,-0.4352765066418913,G5,G1,1.4613726338149755,2.6239981362185687,-0.025198620272763428
zz500,C3_entropy_std_20d,S1,-0.015117749778143723,-0.8596887482637701,-0.010880571922023538,-0.5934797598968459,0.4,120,-0.03911733901105019,-0.08834870563792951,-0.0498933146130115,-0.9155776493649181,0.05323260218514325,0.9731524058602185,-1,-0.0498933146130115,-0.9155776493649181,G1,G5,1.5245892004577002,2.8624068911376708,-0.025198620272763428
zz500,A1_tau_20d,S2,0.011149965725867912,0.5389322395220852,0.013029186640230077,0.6153722420413394,0.5833333333333334,120,-0.08119467321388063,-0.05251963053746822,-0.08868407160278291,-1.222151002557778,0.025132503823892316,0.3462172476401317,1,-0.08868407160278291,-1.222151002557778,G5,G1,1.689404652075154,3.259189851302931,-0.025198620272763428
zz500,A1v_tau_vol_20d,S2,0.005424893044740403,0.2671792231597491,0.006837136721842341,0.3323019177895915,0.55,120,-0.08556956628014334,-0.06397504371104334,-0.09419657025942252,-1.3585929731287,0.018946041355820453,0.2739083595286007,1,-0.09419657025942252,-1.3585929731287,G5,G1,1.6882262498148122,3.257643334994543,-0.025198620272763428
zz500,A2a_high_tau_ret_std_20d,S2,0.003235836874707476,0.18292933589349986,0.0025493942393495844,0.12608236042192086,0.5333333333333333,120,-0.063223519607994,-0.021044499384564985,-0.01670692780894456,-0.21429613473084616,0.03805161469273233,0.4914715474255767,1,-0.01670692780894456,-0.21429613473084616,G5,G1,1.0551505133838608,1.5050979666965114,-0.025198620272763428
zz500,A2b_low_tau_cum_ret_20d,S2,-0.0023818744689454124,-0.11058713517638497,-0.0008541323583191286,-0.03934009174332122,0.5083333333333333,120,-0.06907971985059291,-0.07879327173360895,-0.08904718916470689,-1.281886746669338,0.006957992711302374,0.10052857144621798,-1,-0.08904718916470689,-1.281886746669338,G1,G5,1.5026491204769605,2.7722781830640018,-0.025198620272763428
zz500,A2c_high_tau_vol_share_20d,S2,0.013863727479953573,0.5996518776719881,0.025609911687556854,1.0781959973906865,0.6083333333333333,120,-0.07539890984756992,-0.040485910020109483,-0.06280327113294182,-0.7442523978505471,0.024120328249523704,0.2866622121915805,1,-0.06280327113294182,-0.7442523978505471,G5,G1,1.4177437192420992,2.4582032807939265,-0.025198620272763428
