,ann_ret,vol,sharpe,max_dd
G1,-0.04901373125860742,0.21239399670275855,-0.23076796905517638,-0.5906165270615464
G2,-0.04349208480154121,0.20780322300941811,-0.209294563249243,-0.5497466398865958
G3,-0.058486468371268696,0.20546704504415628,-0.28465133354450856,-0.604291714146032
G4,-0.05794669671441155,0.19273252689726747,-0.3006586259583416,-0.6191480650150201
G5,-0.08291190008853677,0.19756546145102202,-0.4196679899390778,-0.6614922688792775
LS,-0.0627138861129759,0.05759699858326338,-1.0888394821878686,-0.5132085916134194
LS_gross,0.038402000910076506,0.05730700688326434,0.670110044105117,-0.08685275910492629
LS_effective,-0.0627138861129759,0.05759699858326338,-1.0888394821878686,-0.5132085916134194
LS_raw_gross_GN_minus_G1,-0.040239444657150014,0.05730700688326434,-0.7021732043887525,-0.3627795942946038
BENCH,-0.025198620272763428,0.2127784899263499,-0.11842653964451742,-0.49017689182029034
