,mean,std,count,icir
2016,-0.06713199138541882,0.022512604528995426,6,-10.32985941214063
2017,-0.07971039433005743,0.046817693440652335,12,-5.897875043588901
2018,-0.06468944868394698,0.05675702780826368,12,-3.948248037678332
2019,-0.017746287331793942,0.0754609636989671,12,-0.8146588593011506
2020,-0.045413574773493205,0.05816959398515028,12,-2.704458239165249
2021,-0.01706292829048071,0.07329951608275759,12,-0.8063861892798765
2022,-0.0356722675659791,0.08350413850567796,12,-1.4798351543083326
2023,-0.06171722890126934,0.07486504144303538,12,-2.8557354433763256
2024,-0.04682355660535611,0.09720470309396785,12,-1.6686595699624514
2025,-0.0039071678468061595,0.06727454282531525,12,-0.20118793648111416
2026,-0.0031694372313263047,0.07145131402074761,6,-0.1536606118807989
