year,n_months,rankic_mean,rankic_std,rankicir,win_rate,ic_mean
2016,6,-0.08737859383468151,0.06899916204711228,-4.386840637637194,0.16666666666666666,-0.07131836287595789
2017,12,-0.022577249282747694,0.03613576801328299,-2.1643343979014134,0.4166666666666667,-0.013991422052149547
2018,12,-0.034440585544958296,0.05013012417641445,-2.3799200575033037,0.25,-0.03467063211850631
2019,12,-0.0028455113547051765,0.055339435630911024,-0.17812144933081148,0.5833333333333334,-0.0019091328622765022
2020,12,-0.027366026494811107,0.04823966090324232,-1.9651609237204664,0.4166666666666667,-0.023567572170380774
2021,12,-0.03116751450736741,0.03346313087247331,-3.2264595251490524,0.16666666666666666,-0.0291711747880079
2022,12,0.0014803577152303498,0.04165409018968521,0.12311178875732504,0.4166666666666667,0.015000642526899017
2023,12,0.0017389152027548476,0.0475153649156337,0.12677539093188558,0.5,0.00016072658606407683
2024,12,0.0007197598646898392,0.038916564880902144,0.06406838109719629,0.5833333333333334,0.004642710067698336
2025,12,0.007152401333152102,0.051528627248458275,0.4808326232099835,0.5833333333333334,0.014275948926927665
2026,6,-0.007474426910134422,0.042883691891349954,-0.6037767083399935,0.3333333333333333,-0.003979234306073869
